Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
5.4,2.0099752,10.0,3.0,5.4,0,,,,,,,,,,
,,,,,6,7.0,7,,,,,,,,
,,,,,22,16.0,16,,,,,,,,
,,,,,32,10.0,10,,,,,,,,
,,,,,40,8.0,8,,,,,,,,
,,,,,44,4.0,4,,,,,,,,
,,,,,47,3.0,3,,,,,,,,
,,,,,50,3.0,3,,,,,,,,
,,,,,54,4.0,4,,,,,,,,
,,,,,59,5.0,5,,,,,,,,
,,,,,69,10.0,10,,,,,,,,
,,,,,72,3.0,3,,,,,,,,
,,,,,87,15.0,15,,,,,,,,
,,,,,92,5.0,5,,,,,,,,
,,,,,99,7.0,7,,,,,,,,
,,,,,105,6.0,6,,,,,,,,
,,,,,108,3.0,3,,,,,,,,
,,,,,112,4.0,4,,,,,,,,
,,,,,115,3.0,3,,,,,,,,
,,,,,119,4.0,4,,,,,,,,
,,,,,122,3.0,3,,,,,,,,
,,,,,127,5.0,5,,,,,,,,
,,,,,135,8.0,8,,,,,,,,
,,,,,142,7.0,7,,,,,,,,
,,,,,150,8.0,8,,,,,,,,
,,,,,154,4.0,4,,,,,,,,
,,,,,158,4.0,4,,,,,,,,
,,,,,161,3.0,3,,,,,,,,
,,,,,167,6.0,6,,,,,,,,
,,,,,172,5.0,5,,,,,,,,
,,,,,175,3.0,3,,,,,,,,
,,,,,192,17.0,17,,,,,,,,
,,,,,197,5.0,5,,,,,,,,
,,,,,211,14.0,14,,,,,,,,
,,,,,225,14.0,14,,,,,,,,
,,,,,230,5.0,5,,,,,,,,
,,,,,237,7.0,7,,,,,,,,
,,,,,249,12.0,12,,,,,,,,
,,,,,252,3.0,3,,,,,,,,
,,,,,255,3.0,3,,,,,,,,
,,,,,262,7.0,7,,,,,,,,
,,,,,265,3.0,3,,,,,,,,
,,,,,268,3.0,3,,,,,,,,
,,,,,274,6.0,6,,,,,,,,
,,,,,278,4.0,4,,,,,,,,
,,,,,284,6.0,6,,,,,,,,
,,,,,288,4.0,4,,,,,,,,
,,,,,294,6.0,6,,,,,,,,
,,,,,308,14.0,14,,,,,,,,
,,,,,312,4.0,4,,,,,,,,
,,,,,316,4.0,4,,,,,,,,
,,,,,334,18.0,18,,,,,,,,
,,,,,341,7.0,7,,,,,,,,
,,,,,347,6.0,6,,,,,,,,
,,,,,350,3.0,3,,,,,,,,
,,,,,367,17.0,17,,,,,,,,
,,,,,379,12.0,12,,,,,,,,
,,,,,383,4.0,4,,,,,,,,
,,,,,387,4.0,4,,,,,,,,
