Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,873,5.0,5,,,,,,,,,,
,,,,,881,8.0,8,,,,,,,,,,
,,,,,884,3.0,3,,,,,,,,,,
,,,,,890,6.0,6,,,,,,,,,,
,,,,,896,6.0,6,,,,,,,,,,
,,,,,901,5.0,5,,,,,,,,,,
,,,,,906,5.0,5,,,,,,,,,,
,,,,,915,9.0,9,,,,,,,,,,
,,,,,925,10.0,10,,,,,,,,,,
,,,,,935,10.0,10,,,,,,,,,,
,,,,,941,6.0,6,,,,,,,,,,
,,,,,946,5.0,5,,,,,,,,,,
,,,,,952,6.0,6,,,,,,,,,,
,,,,,955,3.0,3,,,,,,,,,,
,,,,,960,5.0,5,,,,,,,,,,
,,,,,964,4.0,4,,,,,,,,,,
,,,,,969,5.0,5,,,,,,,,,,
,,,,,973,4.0,4,,,,,,,,,,
,,,,,979,6.0,6,,,,,,,,,,
,,,,,982,3.0,3,,,,,,,,,,
,,,,,987,5.0,5,,,,,,,,,,
,,,,,992,5.0,5,,,,,,,,,,
,,,,,996,4.0,4,,,,,,,,,,
,,,,,1000,4.0,4,,,,,,,,,,
,,,,,1007,7.0,7,,,,,,,,,,
,,,,,1011,4.0,4,,,,,,,,,,
,,,,,1021,10.0,10,,,,,,,,,,
,,,,,1028,7.0,7,,,,,,,,,,
,,,,,1034,6.0,6,,,,,,,,,,
,,,,,1037,3.0,3,,,,,,,,,,
,,,,,1049,12.0,12,,,,,,,,,,
,,,,,1055,6.0,6,,,,,,,,,,
,,,,,1060,5.0,5,,,,,,,,,,
,,,,,1064,4.0,4,,,,,,,,,,
,,,,,1068,4.0,4,,,,,,,,,,
,,,,,1080,12.0,12,,,,,,,,,,
,,,,,1089,9.0,9,,,,,,,,,,
,,,,,1093,4.0,4,,,,,,,,,,
,,,,,1099,6.0,6,,,,,,,,,,
,,,,,1102,3.0,3,,,,,,,,,,
,,,,,1118,16.0,16,,,,,,,,,,
,,,,,1123,5.0,5,,,,,,,,,,
,,,,,1127,4.0,4,,,,,,,,,,
,,,,,1132,5.0,5,,,,,,,,,,
,,,,,1137,5.0,5,,,,,,,,,,
,,,,,1146,9.0,9,,,,,,,,,,
,,,,,1154,8.0,8,,,,,,,,,,
,,,,,1162,8.0,8,,,,,,,,,,
,,,,,1172,10.0,10,,,,,,,,,,
,,,,,1178,6.0,6,,,,,,,,,,
,,,,,1195,17.0,17,,,,,,,,,,
,,,,,1199,4.0,4,,,,,,,,,,
,,,,,1211,12.0,12,,,,,,,,,,
,,,,,1214,3.0,3,,,,,,,,,,
,,,,,1219,5.0,5,,,,,,,,,,
,,,,,1223,4.0,4,,,,,,,,,,
,,,,,1228,5.0,5,,,,,,,,,,
,,,,,1236,8.0,8,,,,,,,,,,
,,,,,1239,3.0,3,,,,,,,,,,
,,,,,1242,3.0,3,,,,,,,,,,
,,,,,1254,12.0,12,,,,,,,,,,
,,,,,1259,5.0,5,,,,,,,,,,
,,,,,1263,4.0,4,,,,,,,,,,
,,,,,1269,6.0,6,,,,,,,,,,
,,,,,1277,8.0,8,,,,,,,,,,
,,,,,1286,9.0,9,,,,,,,,,,
,,,,,1296,10.0,10,,,,,,,,,,
,,,,,1319,23.0,23,,,,,,,,,,
,,,,,1331,12.0,12,,,,,,,,,,
,,,,,1334,3.0,3,,,,,,,,,,
,,,,,1340,6.0,6,,,,,,,,,,
,,,,,1349,9.0,9,,,,,,,,,,
,,,,,1358,9.0,9,,,,,,,,,,
,,,,,1368,10.0,10,,,,,,,,,,
,,,,,1372,4.0,4,,,,,,,,,,
,,,,,1377,5.0,5,,,,,,,,,,
,,,,,1384,7.0,7,,,,,,,,,,
,,,,,1388,4.0,4,,,,,,,,,,
,,,,,1394,6.0,6,,,,,,,,,,
,,,,,1406,12.0,12,,,,,,,,,,
,,,,,1409,3.0,3,,,,,,,,,,
,,,,,1413,4.0,4,,,,,,,,,,
,,,,,1417,4.0,4,,,,,,,,,,
,,,,,1422,5.0,5,,,,,,,,,,
,,,,,1430,8.0,8,,,,,,,,,,
,,,,,1438,8.0,8,,,,,,,,,,
,,,,,1443,5.0,5,,,,,,,,,,
,,,,,1451,8.0,8,,,,,,,,,,
,,,,,1464,13.0,13,,,,,,,,,,
,,,,,1469,5.0,5,,,,,,,,,,
,,,,,1479,10.0,10,,,,,,,,,,
,,,,,1483,4.0,4,,,,,,,,,,
,,,,,1491,8.0,8,,,,,,,,,,
,,,,,1504,13.0,13,,,,,,,,,,
,,,,,1509,5.0,5,,,,,,,,,,
,,,,,1512,3.0,3,,,,,,,,,,
,,,,,1517,5.0,5,,,,,,,,,,
,,,,,1531,14.0,14,,,,,,,,,,
,,,,,1535,4.0,4,,,,,,,,,,
