Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-821.95135,283.82227,-460.26825,-1293.2249,110.8,0,,,,,,,,
,,,,,64,-163.92368,65,,,,,,
,,,,,135,-137.96722,71,,,,,,
,,,,,202,-146.72429,67,,,,,,
,,,,,317,-142.52664,115,,,,,,
,,,,,419,-341.75027,102,,,,,,
,,,,,490,-112.37927,71,,,,,,
,,,,,592,-123.58272,102,,,,,,
,,,,,664,-197.59363,72,,,,,,
,,,,,779,-117.42221,115,,,,,,
,,,,,861,-108.44379,82,,,,,,
,,,,,988,-175.14569,127,,,,,,
,,,,,1065,-134.54918,77,,,,,,
,,,,,1152,-390.33014,87,,,,,,
,,,,,1255,-130.40167,103,,,,,,
,,,,,1348,-268.07385,93,,,,,,
,,,,,1433,-116.187614,85,,,,,,
,,,,,1500,-118.58359,67,,,,,,
,,,,,1579,-185.50597,79,,,,,,
,,,,,1688,-147.53903,109,,,,,,
,,,,,1772,-228.25359,84,,,,,,
,,,,,1835,-194.24377,63,,,,,,
,,,,,1912,-119.511765,77,,,,,,
,,,,,1999,-407.45654,87,,,,,,
,,,,,2101,-360.62323,102,,,,,,
,,,,,2204,-1.1714706,103,,,,,,
,,,,,2285,-237.19182,81,,,,,,
,,,,,2398,11.588356,113,,,,,,
,,,,,2465,-85.20137,67,,,,,,
,,,,,2541,-173.92683,76,,,,,,
,,,,,2649,-147.26324,108,,,,,,
,,,,,2748,-94.29563,99,,,,,,
,,,,,2837,-163.71992,89,,,,,,
,,,,,2903,-189.44412,66,,,,,,
,,,,,2974,-67.32779,71,,,,,,
,,,,,3088,-120.65233,114,,,,,,
,,,,,3161,-108.23166,73,,,,,,
,,,,,3235,-70.41857,74,,,,,,
,,,,,3334,-107.28199,99,,,,,,
,,,,,3452,-221.7106,118,,,,,,
,,,,,3584,-113.68319,132,,,,,,
,,,,,3682,-173.59879,98,,,,,,
,,,,,3771,-378.7757,89,,,,,,
,,,,,3893,-464.74918,122,,,,,,
,,,,,3984,-106.770325,91,,,,,,
,,,,,4060,-115.26047,76,,,,,,
,,,,,4120,-54.322983,60,,,,,,
,,,,,4198,-105.06168,78,,,,,,
,,,,,4336,-206.42267,138,,,,,,
,,,,,4426,-120.61165,90,,,,,,
,,,,,4515,-352.45514,89,,,,,,
,,,,,4608,-164.4906,93,,,,,,
,,,,,4691,-218.19379,83,,,,,,
,,,,,4788,-258.67334,97,,,,,,
,,,,,4854,-38.083218,66,,,,,,
,,,,,4927,-66.783905,73,,,,,,
,,,,,4989,-74.86415,62,,,,,,
,,,,,5070,-95.58313,81,,,,,,
,,,,,5141,-331.07672,71,,,,,,
,,,,,5216,-89.711,75,,,,,,
,,,,,5303,-192.02328,87,,,,,,
,,,,,5369,-71.0119,66,,,,,,
,,,,,5472,-218.51392,103,,,,,,
,,,,,5572,-146.7148,100,,,,,,
,,,,,5661,-217.44203,89,,,,,,
,,,,,5743,-143.00984,82,,,,,,
,,,,,5822,-280.79065,79,,,,,,
,,,,,5906,-109.35926,84,,,,,,
,,,,,5997,-336.48816,91,,,,,,
,,,,,6122,-182.01715,125,,,,,,
,,,,,6194,-75.41279,72,,,,,,
,,,,,6269,-209.9674,75,,,,,,
,,,,,6350,-56.766186,81,,,,,,
,,,,,6428,-185.4242,78,,,,,,
,,,,,6527,-215.90846,99,,,,,,
,,,,,6635,-221.84186,108,,,,,,
,,,,,6700,-266.71823,65,,,,,,
,,,,,6765,-88.964935,65,,,,,,
,,,,,6867,10.271492,102,,,,,,
,,,,,6940,-85.66743,73,,,,,,
,,,,,7054,-144.18312,114,,,,,,
,,,,,7133,-95.84635,79,,,,,,
,,,,,7244,-179.253,111,,,,,,
,,,,,7322,-355.6095,78,,,,,,
,,,,,7413,-375.61203,91,,,,,,
,,,,,7524,-127.23346,111,,,,,,
,,,,,7610,-244.60432,86,,,,,,
,,,,,7677,-69.7977,67,,,,,,
,,,,,7767,-377.9876,90,,,,,,
,,,,,7916,-218.81525,149,,,,,,
,,,,,8010,-373.48282,94,,,,,,
,,,,,8091,-193.69002,81,,,,,,
,,,,,8172,-109.98897,81,,,,,,
,,,,,8308,-357.5349,136,,,,,,
,,,,,8400,-297.4451,92,,,,,,
,,,,,8527,-264.1807,127,,,,,,
,,,,,8630,-277.47314,103,,,,,,
,,,,,8729,-138.7928,99,,,,,,
,,,,,8802,-49.95671,73,,,,,,
,,,,,8882,-54.653004,80,,,,,,
,,,,,8966,-123.50185,84,,,,,,
,,,,,9114,-185.4707,148,,,,,,
,,,,,9238,-156.63063,124,,,,,,
,,,,,9365,-165.17676,127,,,,,,
,,,,,9431,-92.33545,66,,,,,,
,,,,,9494,-113.95862,63,,,,,,
,,,,,9620,-112.41275,126,,,,,,
,,,,,9716,-332.71994,96,,,,,,
,,,,,9812,-345.70294,96,,,,,,
,,,,,9907,-77.290276,95,,,,,,
,,,,,9996,-358.4489,89,,,,,,
-1107.7878,558.61804,-534.44666,-2246.4338,149.6,10000,,,,,,,,
,,,,,10082,-430.53632,86,,,,,,
,,,,,10165,-157.38625,83,,,,,,
,,,,,10254,-98.11189,89,,,,,,
,,,,,10346,-76.01994,92,,,,,,
,,,,,10425,-91.752846,79,,,,,,
,,,,,10505,-367.60608,80,,,,,,
,,,,,10585,-178.66583,80,,,,,,
,,,,,10680,-399.48907,95,,,,,,
,,,,,10752,-83.459045,72,,,,,,
,,,,,10887,-159.37964,135,,,,,,
,,,,,10953,-192.08188,66,,,,,,
,,,,,11023,-55.226425,70,,,,,,
,,,,,11118,-431.9003,95,,,,,,
,,,,,11181,-88.40122,63,,,,,,
,,,,,11251,-146.77687,70,,,,,,
,,,,,11319,-235.3647,68,,,,,,
,,,,,11411,-344.1647,92,,,,,,
,,,,,11546,-112.80185,135,,,,,,
,,,,,11673,-4.7190704,127,,,,,,
,,,,,11780,-159.25354,107,,,,,,
,,,,,11877,-116.010994,97,,,,,,
,,,,,11971,-201.61414,94,,,,,,
,,,,,12066,-353.72955,95,,,,,,
,,,,,12130,-295.63428,64,,,,,,
,,,,,12222,-324.7161,92,,,,,,
,,,,,12379,-263.40643,157,,,,,,
,,,,,12497,-114.61745,118,,,,,,
,,,,,12577,-63.888306,80,,,,,,
,,,,,12649,-275.4254,72,,,,,,
,,,,,12765,-113.188065,116,,,,,,
,,,,,12856,-152.27635,91,,,,,,
,,,,,12939,-406.5075,83,,,,,,
,,,,,13062,-328.2022,123,,,,,,
,,,,,13152,-422.55356,90,,,,,,
,,,,,13228,-47.716484,76,,,,,,
,,,,,13324,-296.71072,96,,,,,,
,,,,,13458,4.90184,134,,,,,,
,,,,,13546,-358.58368,88,,,,,,
,,,,,13671,-330.14264,125,,,,,,
,,,,,13740,-131.03314,69,,,,,,
,,,,,13841,-40.28745,101,,,,,,
,,,,,13952,-198.08792,111,,,,,,
,,,,,14042,-401.10522,90,,,,,,
,,,,,14142,-417.4188,100,,,,,,
,,,,,14219,-92.10858,77,,,,,,
,,,,,14375,-286.58783,156,,,,,,
,,,,,14457,-247.18265,82,,,,,,
,,,,,14554,-166.11563,97,,,,,,
,,,,,14618,-170.34418,64,,,,,,
,,,,,14699,-166.84772,81,,,,,,
,,,,,14818,-485.81635,119,,,,,,
,,,,,14886,-96.01232,68,,,,,,
,,,,,14954,-22.219124,68,,,,,,
,,,,,15022,-65.08966,68,,,,,,
,,,,,15102,-89.08383,80,,,,,,
,,,,,15190,-430.4968,88,,,,,,
,,,,,15298,-438.22302,108,,,,,,
,,,,,15414,-311.5306,116,,,,,,
,,,,,15502,-377.33093,88,,,,,,
,,,,,15593,-292.53824,91,,,,,,
,,,,,15672,-106.04487,79,,,,,,
,,,,,15745,-72.49274,73,,,,,,
,,,,,15820,-257.21585,75,,,,,,
,,,,,15913,-129.71027,93,,,,,,
,,,,,15988,-324.02686,75,,,,,,
,,,,,16065,-61.759842,77,,,,,,
,,,,,16128,-104.616264,63,,,,,,
,,,,,16214,-91.57404,86,,,,,,
,,,,,16287,-289.56268,73,,,,,,
,,,,,16354,-78.54585,67,,,,,,
,,,,,16433,-64.99112,79,,,,,,
,,,,,16550,-135.12402,117,,,,,,
,,,,,16653,-432.62448,103,,,,,,
,,,,,16727,-290.2916,74,,,,,,
,,,,,16818,-292.0581,91,,,,,,
,,,,,16917,-579.71387,99,,,,,,
,,,,,17010,-233.94702,93,,,,,,
,,,,,17161,-307.50058,151,,,,,,
,,,,,17264,-337.50806,103,,,,,,
,,,,,17351,-264.8113,87,,,,,,
,,,,,17460,-250.37787,109,,,,,,
,,,,,17573,-295.65295,113,,,,,,
,,,,,17685,-384.48703,112,,,,,,
,,,,,17790,-351.4251,105,,,,,,
,,,,,17863,-90.83268,73,,,,,,
,,,,,17944,-75.741394,81,,,,,,
,,,,,18041,-264.62402,97,,,,,,
,,,,,18145,-435.77164,104,,,,,,
,,,,,18242,-433.79105,97,,,,,,
,,,,,18327,-263.86127,85,,,,,,
,,,,,18443,-183.27225,116,,,,,,
,,,,,18540,-102.4787,97,,,,,,
,,,,,18643,-76.02792,103,,,,,,
,,,,,18718,-102.92641,75,,,,,,
,,,,,18787,-225.39825,69,,,,,,
,,,,,18883,-205.61125,96,,,,,,
,,,,,18985,-552.0554,102,,,,,,
,,,,,19133,-341.92572,148,,,,,,
,,,,,19205,-233.1447,72,,,,,,
,,,,,19340,-360.91052,135,,,,,,
,,,,,19481,-103.53913,141,,,,,,
,,,,,19549,-89.90222,68,,,,,,
,,,,,19664,-436.5566,115,,,,,,
,,,,,19733,-82.561325,69,,,,,,
,,,,,19808,-233.86963,75,,,,,,
,,,,,19891,-174.75009,83,,,,,,
-880.6429,224.55907,-495.6214,-1343.0992,129.5,20000,,,7.552460193634033,-0.03674568980932236,-0.9652377367019653,6.114016056060791,0.88,0.0001
,,,,,20003,-355.1043,112,,,,,,
,,,,,20096,-462.2752,93,,,,,,
,,,,,20226,-373.95407,130,,,,,,
,,,,,20329,-164.38788,103,,,,,,
,,,,,20433,-103.15522,104,,,,,,
,,,,,20537,-89.34577,104,,,,,,
,,,,,20675,-177.3327,138,,,,,,
,,,,,20757,-46.728,82,,,,,,
,,,,,20834,-22.738106,77,,,,,,
,,,,,20929,-104.15326,95,,,,,,
,,,,,20996,-60.813057,67,,,,,,
,,,,,21000,,,5.659402847290039,-1.620585322380066,-1.712632656097412,5.941109657287598,0.874,0.0001
,,,,,21121,-115.76795,125,,,,,,
,,,,,21186,-120.5578,65,,,,,,
,,,,,21314,-55.122337,128,,,,,,
,,,,,21419,-6.6033096,105,,,,,,
,,,,,21540,-279.9616,121,,,,,,
,,,,,21615,-88.58422,75,,,,,,
,,,,,21712,-90.46166,97,,,,,,
,,,,,21803,-47.693436,91,,,,,,
,,,,,21880,-62.78238,77,,,,,,
,,,,,21998,-270.7697,118,,,,,,
,,,,,22000,,,14.27869701385498,-2.406586170196533,-1.684578537940979,15.152619361877441,0.868,0.0001
,,,,,22080,-175.22556,82,,,,,,
,,,,,22154,-78.81331,74,,,,,,
,,,,,22288,-242.37207,134,,,,,,
,,,,,22394,-197.12581,106,,,,,,
,,,,,22512,-209.18777,118,,,,,,
,,,,,22636,-245.25983,124,,,,,,
,,,,,22727,-267.9873,91,,,,,,
,,,,,22820,-80.58989,93,,,,,,
,,,,,22896,-63.458237,76,,,,,,
,,,,,22973,-263.8152,77,,,,,,
,,,,,23000,,,4.92118501663208,-3.0209875106811523,-2.3688645362854004,14.187871932983398,0.862,0.0001
,,,,,23111,-259.3166,138,,,,,,
,,,,,23243,-167.0339,132,,,,,,
,,,,,23313,-45.4316,70,,,,,,
,,,,,23436,-465.7966,123,,,,,,
,,,,,23515,-115.96392,79,,,,,,
,,,,,23644,-204.83496,129,,,,,,
,,,,,23786,-202.29208,142,,,,,,
,,,,,23917,-59.024174,131,,,,,,
,,,,,24000,,,9.409469604492188,-4.694698333740234,-4.159801483154297,12.939799308776855,0.856,0.0001
,,,,,24055,-113.32385,138,,,,,,
,,,,,24163,-143.72635,108,,,,,,
,,,,,24285,-149.49298,122,,,,,,
,,,,,24419,-73.95526,134,,,,,,
,,,,,24504,-148.88708,85,,,,,,
,,,,,24592,-332.08606,88,,,,,,
,,,,,24708,-256.80173,116,,,,,,
,,,,,24778,-84.94188,70,,,,,,
,,,,,24886,-129.94041,108,,,,,,
,,,,,25000,,,4.003534317016602,-3.3426599502563477,-3.5330801010131836,16.476205825805664,0.85,0.0001
,,,,,25002,-46.147938,116,,,,,,
,,,,,25081,-119.24184,79,,,,,,
,,,,,25204,-336.43713,123,,,,,,
,,,,,25269,-86.36275,65,,,,,,
,,,,,25394,-206.217,125,,,,,,
,,,,,25501,-158.57957,107,,,,,,
,,,,,25583,-29.804817,82,,,,,,
,,,,,25694,-119.98587,111,,,,,,
,,,,,25806,-176.53207,112,,,,,,
,,,,,25917,-204.8465,111,,,,,,
,,,,,26000,,,56.35928726196289,-4.73287296295166,-5.664706230163574,36.08652114868164,0.844,0.0001
,,,,,26040,-102.77027,123,,,,,,
,,,,,26119,-82.51585,79,,,,,,
,,,,,26258,-234.5644,139,,,,,,
,,,,,26377,-145.38376,119,,,,,,
,,,,,26464,-79.133224,87,,,,,,
,,,,,26543,-45.832615,79,,,,,,
,,,,,26615,-42.65464,72,,,,,,
,,,,,26683,-242.47821,68,,,,,,
,,,,,26778,-83.01976,95,,,,,,
,,,,,26892,-346.1643,114,,,,,,
,,,,,27000,,,1.6017993688583374,-0.22541940212249756,-0.07173621654510498,16.11992073059082,0.838,0.0001
,,,,,27020,-215.03035,128,,,,,,
,,,,,27093,-130.92073,73,,,,,,
,,,,,27198,-488.63803,105,,,,,,
,,,,,27328,-93.35288,130,,,,,,
,,,,,27419,-131.36327,91,,,,,,
,,,,,27487,-102.75938,68,,,,,,
,,,,,27607,-214.77832,120,,,,,,
,,,,,27703,-198.29686,96,,,,,,
,,,,,27821,-173.66566,118,,,,,,
,,,,,27891,-160.5,70,,,,,,
,,,,,27969,-101.04974,78,,,,,,
,,,,,28000,,,36.287025451660156,-5.371976852416992,-5.996614456176758,32.77446746826172,0.832,0.0001
,,,,,28069,-172.93149,100,,,,,,
,,,,,28162,-121.11903,93,,,,,,
,,,,,28261,-116.453545,99,,,,,,
,,,,,28376,-61.589832,115,,,,,,
,,,,,28519,-92.68909,143,,,,,,
,,,,,28613,-54.24326,94,,,,,,
,,,,,28735,-202.55038,122,,,,,,
,,,,,28851,-98.32116,116,,,,,,
,,,,,28942,-73.762,91,,,,,,
,,,,,29000,,,2.604555606842041,-4.223101615905762,-3.826629161834717,31.357019424438477,0.8260000000000001,0.0001
,,,,,29091,-163.70071,149,,,,,,
,,,,,29195,-92.88295,104,,,,,,
,,,,,29315,-251.70918,120,,,,,,
,,,,,29424,-135.5634,109,,,,,,
,,,,,29550,-91.485855,126,,,,,,
,,,,,29677,-188.8952,127,,,,,,
,,,,,29778,-316.51605,101,,,,,,
,,,,,29902,-155.06665,124,,,,,,
-256.95068,113.20813,-58.81846,-452.79703,115.8,30000,,,60.294525146484375,-7.014976501464844,-7.730775833129883,52.202518463134766,0.82,0.0001
,,,,,30030,-210.27597,128,,,,,,
,,,,,30140,-125.71051,110,,,,,,
,,,,,30290,-7.192375,150,,,,,,
,,,,,30382,-98.73662,92,,,,,,
,,,,,30483,-130.88847,101,,,,,,
,,,,,30574,-97.4622,91,,,,,,
,,,,,30703,-92.866806,129,,,,,,
,,,,,30804,-133.50607,101,,,,,,
,,,,,30874,-59.979797,70,,,,,,
,,,,,30965,-144.15662,91,,,,,,
,,,,,31000,,,27.947315216064453,-2.418431282043457,-3.053244113922119,30.434322357177734,0.8140000000000001,0.0001
,,,,,31070,-91.0771,105,,,,,,
,,,,,31157,-170.63483,87,,,,,,
,,,,,31276,-70.18916,119,,,,,,
,,,,,31385,-75.92976,109,,,,,,
,,,,,31508,-200.08388,123,,,,,,
,,,,,31587,-102.11689,79,,,,,,
,,,,,31686,-242.4347,99,,,,,,
,,,,,31753,-99.7461,67,,,,,,
,,,,,31820,-76.49159,67,,,,,,
,,,,,31909,-68.19464,89,,,,,,
,,,,,32000,,,9.588315963745117,-3.093740701675415,-2.3354480266571045,81.71049499511719,0.808,0.0001
,,,,,32014,-212.13837,105,,,,,,
,,,,,32087,-88.02697,73,,,,,,
,,,,,32215,-17.308823,128,,,,,,
,,,,,32353,-101.766754,138,,,,,,
,,,,,32429,-174.22525,76,,,,,,
,,,,,32493,-110.02712,64,,,,,,
,,,,,32592,-75.15799,99,,,,,,
,,,,,32681,-122.084885,89,,,,,,
,,,,,32795,-131.7414,114,,,,,,
,,,,,32933,-352.6248,138,,,,,,
,,,,,33000,,,30.76569938659668,-9.691555976867676,-9.9711275100708,55.030616760253906,0.802,0.0001
,,,,,33027,-99.39805,94,,,,,,
,,,,,33153,-34.248123,126,,,,,,
,,,,,33260,-116.633026,107,,,,,,
,,,,,33389,-399.01697,129,,,,,,
,,,,,33496,-107.34357,107,,,,,,
,,,,,33617,-59.605473,121,,,,,,
,,,,,33706,-47.83345,89,,,,,,
,,,,,33834,-75.652855,128,,,,,,
,,,,,33995,-60.375496,161,,,,,,
,,,,,34000,,,16.359642028808594,-5.71858024597168,-5.83392858505249,45.33457946777344,0.796,0.0001
,,,,,34107,-120.70336,112,,,,,,
,,,,,34197,-120.025604,90,,,,,,
,,,,,34324,-105.579765,127,,,,,,
,,,,,34439,-137.31895,115,,,,,,
,,,,,34554,-218.7066,115,,,,,,
,,,,,34657,-177.43971,103,,,,,,
,,,,,34783,-168.88498,126,,,,,,
,,,,,34844,-148.21771,61,,,,,,
,,,,,34930,-63.491203,86,,,,,,
,,,,,35000,,,9.552465438842773,-2.3222262859344482,-2.4387166500091553,39.82835388183594,0.79,0.0001
,,,,,35027,-107.82736,97,,,,,,
,,,,,35161,-107.99285,134,,,,,,
,,,,,35294,-23.325325,133,,,,,,
,,,,,35399,-234.93817,105,,,,,,
,,,,,35496,-91.6055,97,,,,,,
,,,,,35596,-122.26824,100,,,,,,
,,,,,35698,-290.60797,102,,,,,,
,,,,,35766,-86.383705,68,,,,,,
,,,,,35864,-123.97925,98,,,,,,
,,,,,35989,-178.32024,125,,,,,,
,,,,,36000,,,7.555294036865234,-8.08846664428711,-8.563453674316406,26.87841796875,0.784,0.0001
,,,,,36067,-103.6689,78,,,,,,
,,,,,36178,-151.49796,111,,,,,,
,,,,,36250,-85.45572,72,,,,,,
,,,,,36314,-94.065254,64,,,,,,
,,,,,36389,-67.38562,75,,,,,,
,,,,,36469,-63.315624,80,,,,,,
,,,,,36572,-88.354164,103,,,,,,
,,,,,36713,-26.830406,141,,,,,,
,,,,,36795,-55.809196,82,,,,,,
,,,,,36898,-145.25522,103,,,,,,
,,,,,37000,,,273.4210205078125,-13.635414123535156,-11.480310440063477,169.5705108642578,0.778,0.0001
,,,,,37012,-96.79616,114,,,,,,
,,,,,37105,-127.236046,93,,,,,,
,,,,,37165,-77.943085,60,,,,,,
,,,,,37309,-76.95759,144,,,,,,
,,,,,37419,-139.1556,110,,,,,,
,,,,,37523,-40.497215,104,,,,,,
,,,,,37597,-91.602135,74,,,,,,
,,,,,37699,-255.92113,102,,,,,,
,,,,,37793,-48.801193,94,,,,,,
,,,,,37866,-51.363483,73,,,,,,
,,,,,37969,-114.11889,103,,,,,,
,,,,,38000,,,5.222658157348633,-12.06226921081543,-12.08895492553711,29.933313369750977,0.772,0.0001
,,,,,38077,-259.21533,108,,,,,,
,,,,,38154,-68.23415,77,,,,,,
,,,,,38269,-91.54764,115,,,,,,
,,,,,38405,12.523682,136,,,,,,
,,,,,38498,-201.0542,93,,,,,,
