Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2796,15.04286,28,,,,,,,,
,,,,,2815,11.869572,19,,,,,,,,
,,,,,2848,38.985092,33,,,,,,,,
,,,,,2878,17.750696,30,,,,,,,,
,,,,,2909,36.23968,31,,,,,,,,
,,,,,2919,9.1527815,10,,,,,,,,
,,,,,2934,9.014651,15,,,,,,,,
,,,,,2957,9.121351,23,,,,,,,,
,,,,,3001,62.592922,44,,,,,,,,
,,,,,3038,15.44821,37,,,,,,,,
,,,,,3050,4.842933,12,,,,,,,,
,,,,,3062,10.84808,12,,,,,,,,
,,,,,3082,17.722317,20,,,,,,,,
,,,,,3101,16.429718,19,,,,,,,,
,,,,,3112,6.2776814,11,,,,,,,,
,,,,,3129,12.174411,17,,,,,,,,
,,,,,3233,102.02409,104,,,,,,,,
,,,,,3279,31.1218,46,,,,,,,,
,,,,,3317,18.239443,38,,,,,,,,
,,,,,3326,5.680877,9,,,,,,,,
,,,,,3353,26.906881,27,,,,,,,,
,,,,,3408,88.313286,55,,,,,,,,
,,,,,3418,7.1314464,10,,,,,,,,
,,,,,3462,18.427546,44,,,,,,,,
,,,,,3477,11.110046,15,,,,,,,,
,,,,,3506,12.207529,29,,,,,,,,
,,,,,3532,12.474699,26,,,,,,,,
,,,,,3549,11.285137,17,,,,,,,,
,,,,,3570,11.336008,21,,,,,,,,
,,,,,3580,4.9044847,10,,,,,,,,
,,,,,3592,9.659499,12,,,,,,,,
,,,,,3605,8.182305,13,,,,,,,,
,,,,,3646,29.98589,41,,,,,,,,
,,,,,3662,16.442308,16,,,,,,,,
,,,,,3679,10.171136,17,,,,,,,,
,,,,,3691,10.6376915,12,,,,,,,,
,,,,,3737,21.283554,46,,,,,,,,
,,,,,3761,17.038439,24,,,,,,,,
,,,,,3788,17.151772,27,,,,,,,,
,,,,,3802,12.2114935,14,,,,,,,,
,,,,,3824,22.535936,22,,,,,,,,
,,,,,3841,11.876595,17,,,,,,,,
,,,,,3855,12.033896,14,,,,,,,,
,,,,,3876,11.216226,21,,,,,,,,
,,,,,3891,12.055228,15,,,,,,,,
,,,,,3906,9.870123,15,,,,,,,,
,,,,,3919,5.902594,13,,,,,,,,
,,,,,3928,5.008579,9,,,,,,,,
,,,,,3962,33.84604,34,,,,,,,,
,,,,,3972,7.544274,10,,,,,,,,
,,,,,3989,14.361366,17,,,,,,,,
,,,,,4004,15.89205,15,,,,,,,,
,,,,,4016,8.865114,12,,,,,,,,
,,,,,4044,10.676719,28,,,,,,,,
,,,,,4056,10.241374,12,,,,,,,,
,,,,,4090,13.89696,34,,,,,,,,
,,,,,4107,10.404677,17,,,,,,,,
,,,,,4136,24.576092,29,,,,,,,,
,,,,,4167,18.43266,31,,,,,,,,
,,,,,4188,24.215372,21,,,,,,,,
,,,,,4218,21.047867,30,,,,,,,,
,,,,,4263,58.99069,45,,,,,,,,
,,,,,4277,12.175604,14,,,,,,,,
,,,,,4300,24.075853,23,,,,,,,,
,,,,,4329,33.957157,29,,,,,,,,
,,,,,4346,10.457191,17,,,,,,,,
,,,,,4357,5.7083316,11,,,,,,,,
,,,,,4366,6.704618,9,,,,,,,,
,,,,,4386,19.36163,20,,,,,,,,
,,,,,4399,10.750037,13,,,,,,,,
,,,,,4418,16.804136,19,,,,,,,,
,,,,,4436,9.779551,18,,,,,,,,
,,,,,4457,10.531446,21,,,,,,,,
,,,,,4480,25.70568,23,,,,,,,,
,,,,,4499,18.284569,19,,,,,,,,
,,,,,4511,9.739952,12,,,,,,,,
,,,,,4521,8.163224,10,,,,,,,,
,,,,,4533,6.872952,12,,,,,,,,
,,,,,4564,16.724733,31,,,,,,,,
,,,,,4577,11.447949,13,,,,,,,,
