Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,3058,14.0,14,,,,,,
,,,,,3080,22.0,22,,,,,,
,,,,,3106,26.0,26,,,,,,
,,,,,3120,14.0,14,,,,,,
,,,,,3163,43.0,43,,,,,,
,,,,,3178,15.0,15,,,,,,
,,,,,3196,18.0,18,,,,,,
,,,,,3257,61.0,61,,,,,,
,,,,,3267,10.0,10,,,,,,
,,,,,3283,16.0,16,,,,,,
,,,,,3315,32.0,32,,,,,,
,,,,,3334,19.0,19,,,,,,
,,,,,3344,10.0,10,,,,,,
,,,,,3410,66.0,66,,,,,,
,,,,,3442,32.0,32,,,,,,
,,,,,3458,16.0,16,,,,,,
,,,,,3486,28.0,28,,,,,,
,,,,,3510,24.0,24,,,,,,
,,,,,3531,21.0,21,,,,,,
,,,,,3558,27.0,27,,,,,,
,,,,,3582,24.0,24,,,,,,
,,,,,3612,30.0,30,,,,,,
,,,,,3638,26.0,26,,,,,,
,,,,,3710,72.0,72,,,,,,
,,,,,3748,38.0,38,,,,,,
,,,,,3773,25.0,25,,,,,,
,,,,,3789,16.0,16,,,,,,
,,,,,3807,18.0,18,,,,,,
,,,,,3833,26.0,26,,,,,,
,,,,,3851,18.0,18,,,,,,
,,,,,3921,70.0,70,,,,,,
,,,,,3947,26.0,26,,,,,,
,,,,,3963,16.0,16,,,,,,
,,,,,3991,28.0,28,,,,,,
,,,,,4000,,,0.11732310056686401,2.9204187393188477,2.8704957962036133,0.40762099623680115,0.88,0.0005
,,,,,4026,35.0,35,,,,,,
,,,,,4042,16.0,16,,,,,,
,,,,,4064,22.0,22,,,,,,
,,,,,4098,34.0,34,,,,,,
,,,,,4128,30.0,30,,,,,,
,,,,,4140,12.0,12,,,,,,
,,,,,4160,20.0,20,,,,,,
,,,,,4186,26.0,26,,,,,,
,,,,,4206,20.0,20,,,,,,
,,,,,4225,19.0,19,,,,,,
,,,,,4238,13.0,13,,,,,,
,,,,,4286,48.0,48,,,,,,
,,,,,4306,20.0,20,,,,,,
,,,,,4322,16.0,16,,,,,,
,,,,,4336,14.0,14,,,,,,
,,,,,4385,49.0,49,,,,,,
,,,,,4398,13.0,13,,,,,,
,,,,,4416,18.0,18,,,,,,
,,,,,4450,34.0,34,,,,,,
,,,,,4497,47.0,47,,,,,,
,,,,,4515,18.0,18,,,,,,
,,,,,4544,29.0,29,,,,,,
,,,,,4564,20.0,20,,,,,,
,,,,,4600,36.0,36,,,,,,
,,,,,4618,18.0,18,,,,,,
,,,,,4659,41.0,41,,,,,,
,,,,,4687,28.0,28,,,,,,
,,,,,4697,10.0,10,,,,,,
,,,,,4710,13.0,13,,,,,,
,,,,,4734,24.0,24,,,,,,
,,,,,4754,20.0,20,,,,,,
,,,,,4771,17.0,17,,,,,,
,,,,,4789,18.0,18,,,,,,
,,,,,4804,15.0,15,,,,,,
,,,,,4833,29.0,29,,,,,,
,,,,,4906,73.0,73,,,,,,
