Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,957,9.0,9,,,,,,
,,,,,964,7.0,7,,,,,,
,,,,,968,4.0,4,,,,,,
,,,,,972,4.0,4,,,,,,
,,,,,975,3.0,3,,,,,,
,,,,,978,3.0,3,,,,,,
,,,,,983,5.0,5,,,,,,
,,,,,988,5.0,5,,,,,,
,,,,,994,6.0,6,,,,,,
,,,,,1001,7.0,7,,,,,,
,,,,,1008,7.0,7,,,,,,
,,,,,1012,4.0,4,,,,,,
,,,,,1021,9.0,9,,,,,,
,,,,,1031,10.0,10,,,,,,
,,,,,1036,5.0,5,,,,,,
,,,,,1039,3.0,3,,,,,,
,,,,,1046,7.0,7,,,,,,
,,,,,1051,5.0,5,,,,,,
,,,,,1055,4.0,4,,,,,,
,,,,,1058,3.0,3,,,,,,
,,,,,1066,8.0,8,,,,,,
,,,,,1072,6.0,6,,,,,,
,,,,,1082,10.0,10,,,,,,
,,,,,1090,8.0,8,,,,,,
,,,,,1094,4.0,4,,,,,,
,,,,,1100,6.0,6,,,,,,
,,,,,1103,3.0,3,,,,,,
,,,,,1119,16.0,16,,,,,,
,,,,,1124,5.0,5,,,,,,
,,,,,1128,4.0,4,,,,,,
,,,,,1133,5.0,5,,,,,,
,,,,,1138,5.0,5,,,,,,
,,,,,1147,9.0,9,,,,,,
,,,,,1155,8.0,8,,,,,,
,,,,,1165,10.0,10,,,,,,
,,,,,1171,6.0,6,,,,,,
,,,,,1175,4.0,4,,,,,,
,,,,,1193,18.0,18,,,,,,
,,,,,1196,3.0,3,,,,,,
,,,,,1200,4.0,4,,,,,,
,,,,,1212,12.0,12,,,,,,
,,,,,1215,3.0,3,,,,,,
,,,,,1220,5.0,5,,,,,,
,,,,,1224,4.0,4,,,,,,
,,,,,1229,5.0,5,,,,,,
,,,,,1237,8.0,8,,,,,,
,,,,,1240,3.0,3,,,,,,
,,,,,1243,3.0,3,,,,,,
,,,,,1255,12.0,12,,,,,,
,,,,,1260,5.0,5,,,,,,
,,,,,1264,4.0,4,,,,,,
,,,,,1270,6.0,6,,,,,,
,,,,,1278,8.0,8,,,,,,
,,,,,1287,9.0,9,,,,,,
,,,,,1297,10.0,10,,,,,,
,,,,,1316,19.0,19,,,,,,
,,,,,1326,10.0,10,,,,,,
,,,,,1333,7.0,7,,,,,,
,,,,,1340,7.0,7,,,,,,
,,,,,1346,6.0,6,,,,,,
,,,,,1354,8.0,8,,,,,,
,,,,,1357,3.0,3,,,,,,
,,,,,1372,15.0,15,,,,,,
,,,,,1377,5.0,5,,,,,,
,,,,,1387,10.0,10,,,,,,
,,,,,1393,6.0,6,,,,,,
,,,,,1412,19.0,19,,,,,,
,,,,,1416,4.0,4,,,,,,
,,,,,1422,6.0,6,,,,,,
,,,,,1427,5.0,5,,,,,,
,,,,,1432,5.0,5,,,,,,
,,,,,1442,10.0,10,,,,,,
,,,,,1451,9.0,9,,,,,,
,,,,,1454,3.0,3,,,,,,
,,,,,1470,16.0,16,,,,,,
,,,,,1480,10.0,10,,,,,,
,,,,,1484,4.0,4,,,,,,
,,,,,1492,8.0,8,,,,,,
,,,,,1504,12.0,12,,,,,,
,,,,,1510,6.0,6,,,,,,
,,,,,1513,3.0,3,,,,,,
,,,,,1518,5.0,5,,,,,,
,,,,,1531,13.0,13,,,,,,
,,,,,1536,5.0,5,,,,,,
,,,,,1539,3.0,3,,,,,,
,,,,,1543,4.0,4,,,,,,
,,,,,1547,4.0,4,,,,,,
,,,,,1553,6.0,6,,,,,,
,,,,,1556,3.0,3,,,,,,
,,,,,1561,5.0,5,,,,,,
,,,,,1567,6.0,6,,,,,,
,,,,,1571,4.0,4,,,,,,
,,,,,1575,4.0,4,,,,,,
,,,,,1582,7.0,7,,,,,,
,,,,,1588,6.0,6,,,,,,
,,,,,1594,6.0,6,,,,,,
,,,,,1602,8.0,8,,,,,,
,,,,,1609,7.0,7,,,,,,
,,,,,1614,5.0,5,,,,,,
,,,,,1619,5.0,5,,,,,,
,,,,,1624,5.0,5,,,,,,
,,,,,1628,4.0,4,,,,,,
,,,,,1636,8.0,8,,,,,,
,,,,,1659,23.0,23,,,,,,
,,,,,1665,6.0,6,,,,,,
,,,,,1679,14.0,14,,,,,,
,,,,,1687,8.0,8,,,,,,
,,,,,1691,4.0,4,,,,,,
,,,,,1694,3.0,3,,,,,,
,,,,,1697,3.0,3,,,,,,
,,,,,1701,4.0,4,,,,,,
,,,,,1706,5.0,5,,,,,,
,,,,,1716,10.0,10,,,,,,
,,,,,1723,7.0,7,,,,,,
,,,,,1728,5.0,5,,,,,,
,,,,,1737,9.0,9,,,,,,
,,,,,1743,6.0,6,,,,,,
,,,,,1749,6.0,6,,,,,,
,,,,,1767,18.0,18,,,,,,
,,,,,1772,5.0,5,,,,,,
,,,,,1778,6.0,6,,,,,,
,,,,,1782,4.0,4,,,,,,
,,,,,1785,3.0,3,,,,,,
,,,,,1794,9.0,9,,,,,,
,,,,,1797,3.0,3,,,,,,
,,,,,1800,3.0,3,,,,,,
,,,,,1810,10.0,10,,,,,,
,,,,,1816,6.0,6,,,,,,
,,,,,1823,7.0,7,,,,,,
,,,,,1827,4.0,4,,,,,,
,,,,,1830,3.0,3,,,,,,
,,,,,1840,10.0,10,,,,,,
,,,,,1847,7.0,7,,,,,,
,,,,,1854,7.0,7,,,,,,
,,,,,1858,4.0,4,,,,,,
,,,,,1862,4.0,4,,,,,,
,,,,,1869,7.0,7,,,,,,
,,,,,1873,4.0,4,,,,,,
,,,,,1878,5.0,5,,,,,,
,,,,,1892,14.0,14,,,,,,
,,,,,1899,7.0,7,,,,,,
,,,,,1904,5.0,5,,,,,,
,,,,,1911,7.0,7,,,,,,
,,,,,1920,9.0,9,,,,,,
,,,,,1929,9.0,9,,,,,,
,,,,,1934,5.0,5,,,,,,
,,,,,1955,21.0,21,,,,,,
,,,,,1970,15.0,15,,,,,,
,,,,,1973,3.0,3,,,,,,
,,,,,1992,19.0,19,,,,,,
,,,,,2015,23.0,23,,,,,,
,,,,,2020,5.0,5,,,,,,
,,,,,2025,5.0,5,,,,,,
,,,,,2036,11.0,11,,,,,,
,,,,,2046,10.0,10,,,,,,
,,,,,2049,3.0,3,,,,,,
,,,,,2052,3.0,3,,,,,,
,,,,,2057,5.0,5,,,,,,
,,,,,2061,4.0,4,,,,,,
,,,,,2067,6.0,6,,,,,,
,,,,,2072,5.0,5,,,,,,
,,,,,2075,3.0,3,,,,,,
,,,,,2079,4.0,4,,,,,,
,,,,,2087,8.0,8,,,,,,
,,,,,2094,7.0,7,,,,,,
,,,,,2099,5.0,5,,,,,,
,,,,,2106,7.0,7,,,,,,
,,,,,2112,6.0,6,,,,,,
,,,,,2119,7.0,7,,,,,,
,,,,,2124,5.0,5,,,,,,
,,,,,2133,9.0,9,,,,,,
,,,,,2136,3.0,3,,,,,,
,,,,,2139,3.0,3,,,,,,
,,,,,2147,8.0,8,,,,,,
,,,,,2151,4.0,4,,,,,,
,,,,,2155,4.0,4,,,,,,
,,,,,2160,5.0,5,,,,,,
,,,,,2176,16.0,16,,,,,,
,,,,,2184,8.0,8,,,,,,
,,,,,2193,9.0,9,,,,,,
,,,,,2196,3.0,3,,,,,,
,,,,,2200,4.0,4,,,,,,
,,,,,2205,5.0,5,,,,,,
,,,,,2210,5.0,5,,,,,,
,,,,,2215,5.0,5,,,,,,
,,,,,2223,8.0,8,,,,,,
,,,,,2229,6.0,6,,,,,,
,,,,,2233,4.0,4,,,,,,
,,,,,2238,5.0,5,,,,,,
,,,,,2243,5.0,5,,,,,,
,,,,,2254,11.0,11,,,,,,
,,,,,2260,6.0,6,,,,,,
,,,,,2263,3.0,3,,,,,,
,,,,,2268,5.0,5,,,,,,
,,,,,2271,3.0,3,,,,,,
,,,,,2276,5.0,5,,,,,,
,,,,,2282,6.0,6,,,,,,
,,,,,2286,4.0,4,,,,,,
,,,,,2292,6.0,6,,,,,,
,,,,,2300,8.0,8,,,,,,
,,,,,2312,12.0,12,,,,,,
,,,,,2316,4.0,4,,,,,,
,,,,,2330,14.0,14,,,,,,
,,,,,2340,10.0,10,,,,,,
,,,,,2345,5.0,5,,,,,,
,,,,,2351,6.0,6,,,,,,
,,,,,2357,6.0,6,,,,,,
,,,,,2360,3.0,3,,,,,,
,,,,,2363,3.0,3,,,,,,
,,,,,2367,4.0,4,,,,,,
,,,,,2372,5.0,5,,,,,,
,,,,,2382,10.0,10,,,,,,
,,,,,2385,3.0,3,,,,,,
,,,,,2394,9.0,9,,,,,,
,,,,,2398,4.0,4,,,,,,
,,,,,2405,7.0,7,,,,,,
,,,,,2408,3.0,3,,,,,,
,,,,,2416,8.0,8,,,,,,
,,,,,2422,6.0,6,,,,,,
,,,,,2427,5.0,5,,,,,,
,,,,,2435,8.0,8,,,,,,
,,,,,2439,4.0,4,,,,,,
,,,,,2444,5.0,5,,,,,,
,,,,,2455,11.0,11,,,,,,
,,,,,2464,9.0,9,,,,,,
,,,,,2473,9.0,9,,,,,,
,,,,,2480,7.0,7,,,,,,
,,,,,2489,9.0,9,,,,,,
,,,,,2503,14.0,14,,,,,,
,,,,,2507,4.0,4,,,,,,
,,,,,2512,5.0,5,,,,,,
,,,,,2530,18.0,18,,,,,,
,,,,,2534,4.0,4,,,,,,
,,,,,2538,4.0,4,,,,,,
,,,,,2543,5.0,5,,,,,,
,,,,,2554,11.0,11,,,,,,
,,,,,2558,4.0,4,,,,,,
,,,,,2571,13.0,13,,,,,,
,,,,,2577,6.0,6,,,,,,
,,,,,2583,6.0,6,,,,,,
,,,,,2587,4.0,4,,,,,,
,,,,,2599,12.0,12,,,,,,
,,,,,2612,13.0,13,,,,,,
,,,,,2616,4.0,4,,,,,,
,,,,,2619,3.0,3,,,,,,
,,,,,2622,3.0,3,,,,,,
,,,,,2625,3.0,3,,,,,,
,,,,,2629,4.0,4,,,,,,
,,,,,2632,3.0,3,,,,,,
,,,,,2638,6.0,6,,,,,,
,,,,,2642,4.0,4,,,,,,
,,,,,2645,3.0,3,,,,,,
,,,,,2655,10.0,10,,,,,,
,,,,,2659,4.0,4,,,,,,
,,,,,2662,3.0,3,,,,,,
,,,,,2666,4.0,4,,,,,,
,,,,,2679,13.0,13,,,,,,
,,,,,2688,9.0,9,,,,,,
,,,,,2693,5.0,5,,,,,,
,,,,,2697,4.0,4,,,,,,
,,,,,2705,8.0,8,,,,,,
,,,,,2713,8.0,8,,,,,,
,,,,,2718,5.0,5,,,,,,
,,,,,2725,7.0,7,,,,,,
,,,,,2742,17.0,17,,,,,,
,,,,,2760,18.0,18,,,,,,
,,,,,2767,7.0,7,,,,,,
,,,,,2771,4.0,4,,,,,,
,,,,,2782,11.0,11,,,,,,
,,,,,2795,13.0,13,,,,,,
,,,,,2798,3.0,3,,,,,,
,,,,,2809,11.0,11,,,,,,
,,,,,2815,6.0,6,,,,,,
,,,,,2827,12.0,12,,,,,,
,,,,,2830,3.0,3,,,,,,
,,,,,2835,5.0,5,,,,,,
,,,,,2842,7.0,7,,,,,,
,,,,,2848,6.0,6,,,,,,
,,,,,2854,6.0,6,,,,,,
,,,,,2859,5.0,5,,,,,,
,,,,,2862,3.0,3,,,,,,
,,,,,2867,5.0,5,,,,,,
,,,,,2873,6.0,6,,,,,,
,,,,,2887,14.0,14,,,,,,
,,,,,2891,4.0,4,,,,,,
,,,,,2898,7.0,7,,,,,,
,,,,,2902,4.0,4,,,,,,
,,,,,2906,4.0,4,,,,,,
,,,,,2913,7.0,7,,,,,,
,,,,,2924,11.0,11,,,,,,
,,,,,2933,9.0,9,,,,,,
,,,,,2937,4.0,4,,,,,,
,,,,,2941,4.0,4,,,,,,
,,,,,2958,17.0,17,,,,,,
,,,,,2964,6.0,6,,,,,,
,,,,,2971,7.0,7,,,,,,
,,,,,2974,3.0,3,,,,,,
,,,,,2980,6.0,6,,,,,,
,,,,,2993,13.0,13,,,,,,
,,,,,2997,4.0,4,,,,,,
,,,,,3002,5.0,5,,,,,,
,,,,,3006,4.0,4,,,,,,
,,,,,3016,10.0,10,,,,,,
,,,,,3024,8.0,8,,,,,,
,,,,,3028,4.0,4,,,,,,
,,,,,3032,4.0,4,,,,,,
,,,,,3041,9.0,9,,,,,,
,,,,,3044,3.0,3,,,,,,
,,,,,3050,6.0,6,,,,,,
,,,,,3055,5.0,5,,,,,,
,,,,,3064,9.0,9,,,,,,
,,,,,3075,11.0,11,,,,,,
,,,,,3087,12.0,12,,,,,,
,,,,,3108,21.0,21,,,,,,
,,,,,3120,12.0,12,,,,,,
,,,,,3124,4.0,4,,,,,,
,,,,,3127,3.0,3,,,,,,
,,,,,3130,3.0,3,,,,,,
,,,,,3136,6.0,6,,,,,,
,,,,,3139,3.0,3,,,,,,
,,,,,3146,7.0,7,,,,,,
,,,,,3154,8.0,8,,,,,,
,,,,,3157,3.0,3,,,,,,
,,,,,3162,5.0,5,,,,,,
,,,,,3167,5.0,5,,,,,,
,,,,,3171,4.0,4,,,,,,
,,,,,3176,5.0,5,,,,,,
,,,,,3179,3.0,3,,,,,,
,,,,,3186,7.0,7,,,,,,
,,,,,3196,10.0,10,,,,,,
,,,,,3200,4.0,4,,,,,,
,,,,,3205,5.0,5,,,,,,
,,,,,3227,22.0,22,,,,,,
,,,,,3235,8.0,8,,,,,,
,,,,,3238,3.0,3,,,,,,
,,,,,3245,7.0,7,,,,,,
,,,,,3250,5.0,5,,,,,,
,,,,,3254,4.0,4,,,,,,
,,,,,3258,4.0,4,,,,,,
,,,,,3262,4.0,4,,,,,,
,,,,,3268,6.0,6,,,,,,
,,,,,3283,15.0,15,,,,,,
,,,,,3288,5.0,5,,,,,,
,,,,,3296,8.0,8,,,,,,
,,,,,3305,9.0,9,,,,,,
,,,,,3308,3.0,3,,,,,,
,,,,,3313,5.0,5,,,,,,
,,,,,3318,5.0,5,,,,,,
,,,,,3328,10.0,10,,,,,,
,,,,,3333,5.0,5,,,,,,
,,,,,3345,12.0,12,,,,,,
,,,,,3348,3.0,3,,,,,,
