Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2865,14.074341,15,,,,,,,,
,,,,,2877,8.885812,12,,,,,,,,
,,,,,2892,13.913675,15,,,,,,,,
,,,,,2919,21.833607,27,,,,,,,,
,,,,,2930,10.418055,11,,,,,,,,
,,,,,2951,13.503529,21,,,,,,,,
,,,,,2981,18.73808,30,,,,,,,,
,,,,,2993,8.554024,12,,,,,,,,
,,,,,3012,17.327095,19,,,,,,,,
,,,,,3035,21.676188,23,,,,,,,,
,,,,,3050,9.0556345,15,,,,,,,,
,,,,,3101,53.17596,51,,,,,,,,
,,,,,3122,16.352558,21,,,,,,,,
,,,,,3137,13.957955,15,,,,,,,,
,,,,,3160,13.959024,23,,,,,,,,
,,,,,3186,13.443253,26,,,,,,,,
,,,,,3207,14.548412,21,,,,,,,,
,,,,,3225,9.696756,18,,,,,,,,
,,,,,3254,16.889256,29,,,,,,,,
,,,,,3267,8.805617,13,,,,,,,,
,,,,,3284,10.002558,17,,,,,,,,
,,,,,3295,7.8774133,11,,,,,,,,
,,,,,3309,12.498755,14,,,,,,,,
,,,,,3319,6.1763906,10,,,,,,,,
,,,,,3338,17.281412,19,,,,,,,,
,,,,,3362,10.49504,24,,,,,,,,
,,,,,3391,29.032722,29,,,,,,,,
,,,,,3405,8.285197,14,,,,,,,,
,,,,,3417,8.971128,12,,,,,,,,
,,,,,3426,7.3369446,9,,,,,,,,
,,,,,3449,20.68816,23,,,,,,,,
,,,,,3472,20.641733,23,,,,,,,,
,,,,,3484,8.305692,12,,,,,,,,
,,,,,3533,20.92091,49,,,,,,,,
,,,,,3562,23.99266,29,,,,,,,,
,,,,,3583,20.661972,21,,,,,,,,
,,,,,3609,27.636784,26,,,,,,,,
,,,,,3624,13.147409,15,,,,,,,,
,,,,,3671,77.78634,47,,,,,,,,
,,,,,3690,12.28049,19,,,,,,,,
,,,,,3712,15.546993,22,,,,,,,,
,,,,,3729,12.720297,17,,,,,,,,
,,,,,3746,16.908981,17,,,,,,,,
,,,,,3771,14.516701,25,,,,,,,,
,,,,,3789,16.201092,18,,,,,,,,
,,,,,3808,9.231197,19,,,,,,,,
,,,,,3826,13.763436,18,,,,,,,,
,,,,,3849,21.187523,23,,,,,,,,
,,,,,3877,12.353377,28,,,,,,,,
,,,,,3899,20.201157,22,,,,,,,,
,,,,,3911,5.407029,12,,,,,,,,
,,,,,3949,17.986536,38,,,,,,,,
,,,,,3968,10.760147,19,,,,,,,,
,,,,,3982,12.234849,14,,,,,,,,
,,,,,3999,15.27319,17,,,,,,,,
,,,,,4017,13.737482,18,,,,,,,,
,,,,,4031,12.582208,14,,,,,,,,
,,,,,4066,29.179802,35,,,,,,,,
,,,,,4085,8.861091,19,,,,,,,,
