Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
5.4,1.8000001,10.0,3.0,5.4,0,,,,,,,,,,
,,,,,5,6.0,6,,,,,,,,
,,,,,14,9.0,9,,,,,,,,
,,,,,17,3.0,3,,,,,,,,
,,,,,22,5.0,5,,,,,,,,
,,,,,28,6.0,6,,,,,,,,
,,,,,33,5.0,5,,,,,,,,
,,,,,37,4.0,4,,,,,,,,
,,,,,41,4.0,4,,,,,,,,
,,,,,51,10.0,10,,,,,,,,
,,,,,57,6.0,6,,,,,,,,
,,,,,68,11.0,11,,,,,,,,
,,,,,81,13.0,13,,,,,,,,
,,,,,86,5.0,5,,,,,,,,
,,,,,94,8.0,8,,,,,,,,
,,,,,98,4.0,4,,,,,,,,
,,,,,102,4.0,4,,,,,,,,
,,,,,109,7.0,7,,,,,,,,
,,,,,113,4.0,4,,,,,,,,
,,,,,125,12.0,12,,,,,,,,
,,,,,131,6.0,6,,,,,,,,
,,,,,136,5.0,5,,,,,,,,
,,,,,141,5.0,5,,,,,,,,
,,,,,148,7.0,7,,,,,,,,
,,,,,153,5.0,5,,,,,,,,
,,,,,176,23.0,23,,,,,,,,
,,,,,179,3.0,3,,,,,,,,
,,,,,182,3.0,3,,,,,,,,
,,,,,186,4.0,4,,,,,,,,
,,,,,196,10.0,10,,,,,,,,
,,,,,200,4.0,4,,,,,,,,
,,,,,204,4.0,4,,,,,,,,
,,,,,218,14.0,14,,,,,,,,
,,,,,232,14.0,14,,,,,,,,
,,,,,235,3.0,3,,,,,,,,
,,,,,238,3.0,3,,,,,,,,
,,,,,242,4.0,4,,,,,,,,
,,,,,247,5.0,5,,,,,,,,
,,,,,254,7.0,7,,,,,,,,
,,,,,262,8.0,8,,,,,,,,
,,,,,267,5.0,5,,,,,,,,
,,,,,271,4.0,4,,,,,,,,
,,,,,275,4.0,4,,,,,,,,
,,,,,282,7.0,7,,,,,,,,
,,,,,290,8.0,8,,,,,,,,
,,,,,296,6.0,6,,,,,,,,
,,,,,299,3.0,3,,,,,,,,
,,,,,304,5.0,5,,,,,,,,
,,,,,311,7.0,7,,,,,,,,
,,,,,314,3.0,3,,,,,,,,
,,,,,320,6.0,6,,,,,,,,
,,,,,324,4.0,4,,,,,,,,
,,,,,328,4.0,4,,,,,,,,
,,,,,334,6.0,6,,,,,,,,
,,,,,340,6.0,6,,,,,,,,
,,,,,347,7.0,7,,,,,,,,
,,,,,352,5.0,5,,,,,,,,
,,,,,357,5.0,5,,,,,,,,
,,,,,374,17.0,17,,,,,,,,
,,,,,377,3.0,3,,,,,,,,
,,,,,382,5.0,5,,,,,,,,
,,,,,390,8.0,8,,,,,,,,
,,,,,398,8.0,8,,,,,,,,
,,,,,403,5.0,5,,,,,,,,
,,,,,406,3.0,3,,,,,,,,
,,,,,409,3.0,3,,,,,,,,
,,,,,412,3.0,3,,,,,,,,
,,,,,422,10.0,10,,,,,,,,
,,,,,425,3.0,3,,,,,,,,
,,,,,434,9.0,9,,,,,,,,
,,,,,437,3.0,3,,,,,,,,
,,,,,445,8.0,8,,,,,,,,
,,,,,449,4.0,4,,,,,,,,
,,,,,454,5.0,5,,,,,,,,
,,,,,461,7.0,7,,,,,,,,
,,,,,465,4.0,4,,,,,,,,
,,,,,469,4.0,4,,,,,,,,
,,,,,485,16.0,16,,,,,,,,
,,,,,493,8.0,8,,,,,,,,
,,,,,506,13.0,13,,,,,,,,
,,,,,521,15.0,15,,,,,,,,
,,,,,527,6.0,6,,,,,,,,
,,,,,535,8.0,8,,,,,,,,
,,,,,541,6.0,6,,,,,,,,
,,,,,547,6.0,6,,,,,,,,
,,,,,553,6.0,6,,,,,,,,
,,,,,557,4.0,4,,,,,,,,
,,,,,567,10.0,10,,,,,,,,
,,,,,570,3.0,3,,,,,,,,
,,,,,577,7.0,7,,,,,,,,
,,,,,582,5.0,5,,,,,,,,
,,,,,586,4.0,4,,,,,,,,
,,,,,596,10.0,10,,,,,,,,
,,,,,604,8.0,8,,,,,,,,
,,,,,612,8.0,8,,,,,,,,
,,,,,621,9.0,9,,,,,,,,
,,,,,629,8.0,8,,,,,,,,
,,,,,634,5.0,5,,,,,,,,
,,,,,639,5.0,5,,,,,,,,
,,,,,648,9.0,9,,,,,,,,
,,,,,662,14.0,14,,,,,,,,
,,,,,667,5.0,5,,,,,,,,
,,,,,675,8.0,8,,,,,,,,
,,,,,681,6.0,6,,,,,,,,
,,,,,684,3.0,3,,,,,,,,
,,,,,690,6.0,6,,,,,,,,
,,,,,693,3.0,3,,,,,,,,
,,,,,698,5.0,5,,,,,,,,
,,,,,706,8.0,8,,,,,,,,
,,,,,709,3.0,3,,,,,,,,
,,,,,712,3.0,3,,,,,,,,
,,,,,717,5.0,5,,,,,,,,
,,,,,721,4.0,4,,,,,,,,
,,,,,724,3.0,3,,,,,,,,
,,,,,728,4.0,4,,,,,,,,
,,,,,736,8.0,8,,,,,,,,
,,,,,739,3.0,3,,,,,,,,
,,,,,744,5.0,5,,,,,,,,
,,,,,747,3.0,3,,,,,,,,
,,,,,755,8.0,8,,,,,,,,
,,,,,765,10.0,10,,,,,,,,
,,,,,769,4.0,4,,,,,,,,
,,,,,775,6.0,6,,,,,,,,
,,,,,780,5.0,5,,,,,,,,
,,,,,792,12.0,12,,,,,,,,
,,,,,802,10.0,10,,,,,,,,
,,,,,805,3.0,3,,,,,,,,
,,,,,810,5.0,5,,,,,,,,
,,,,,833,23.0,23,,,,,,,,
,,,,,840,7.0,7,,,,,,,,
,,,,,843,3.0,3,,,,,,,,
,,,,,846,3.0,3,,,,,,,,
,,,,,850,4.0,4,,,,,,,,
,,,,,853,3.0,3,,,,,,,,
,,,,,857,4.0,4,,,,,,,,
,,,,,860,3.0,3,,,,,,,,
,,,,,868,8.0,8,,,,,,,,
,,,,,877,9.0,9,,,,,,,,
,,,,,881,4.0,4,,,,,,,,
,,,,,895,14.0,14,,,,,,,,
,,,,,899,4.0,4,,,,,,,,
,,,,,906,7.0,7,,,,,,,,
,,,,,911,5.0,5,,,,,,,,
,,,,,918,7.0,7,,,,,,,,
,,,,,927,9.0,9,,,,,,,,
,,,,,935,8.0,8,,,,,,,,
,,,,,938,3.0,3,,,,,,,,
,,,,,942,4.0,4,,,,,,,,
,,,,,952,10.0,10,,,,,,,,
,,,,,956,4.0,4,,,,,,,,
,,,,,967,11.0,11,,,,,,,,
,,,,,973,6.0,6,,,,,,,,
,,,,,977,4.0,4,,,,,,,,
,,,,,980,3.0,3,,,,,,,,
,,,,,984,4.0,4,,,,,,,,
,,,,,990,6.0,6,,,,,,,,
,,,,,994,4.0,4,,,,,,,,
,,,,,1001,7.0,7,,,,,,,,
,,,,,1009,8.0,8,,,,,,,,
,,,,,1016,7.0,7,,,,,,,,
,,,,,1020,4.0,4,,,,,,,,
,,,,,1029,9.0,9,,,,,,,,
,,,,,1039,10.0,10,,,,,,,,
,,,,,1044,5.0,5,,,,,,,,
,,,,,1047,3.0,3,,,,,,,,
,,,,,1054,7.0,7,,,,,,,,
,,,,,1059,5.0,5,,,,,,,,
,,,,,1063,4.0,4,,,,,,,,
,,,,,1066,3.0,3,,,,,,,,
,,,,,1073,7.0,7,,,,,,,,
,,,,,1078,5.0,5,,,,,,,,
,,,,,1085,7.0,7,,,,,,,,
,,,,,1091,6.0,6,,,,,,,,
,,,,,1098,7.0,7,,,,,,,,
,,,,,1103,5.0,5,,,,,,,,
,,,,,1108,5.0,5,,,,,,,,
,,,,,1111,3.0,3,,,,,,,,
,,,,,1127,16.0,16,,,,,,,,
,,,,,1132,5.0,5,,,,,,,,
,,,,,1136,4.0,4,,,,,,,,
,,,,,1141,5.0,5,,,,,,,,
,,,,,1147,6.0,6,,,,,,,,
,,,,,1153,6.0,6,,,,,,,,
,,,,,1162,9.0,9,,,,,,,,
,,,,,1170,8.0,8,,,,,,,,
,,,,,1176,6.0,6,,,,,,,,
,,,,,1179,3.0,3,,,,,,,,
,,,,,1183,4.0,4,,,,,,,,
,,,,,1201,18.0,18,,,,,,,,
,,,,,1204,3.0,3,,,,,,,,
,,,,,1208,4.0,4,,,,,,,,
,,,,,1220,12.0,12,,,,,,,,
,,,,,1223,3.0,3,,,,,,,,
,,,,,1228,5.0,5,,,,,,,,
,,,,,1232,4.0,4,,,,,,,,
,,,,,1237,5.0,5,,,,,,,,
,,,,,1245,8.0,8,,,,,,,,
,,,,,1248,3.0,3,,,,,,,,
,,,,,1251,3.0,3,,,,,,,,
,,,,,1263,12.0,12,,,,,,,,
,,,,,1268,5.0,5,,,,,,,,
,,,,,1272,4.0,4,,,,,,,,
,,,,,1278,6.0,6,,,,,,,,
,,,,,1286,8.0,8,,,,,,,,
,,,,,1295,9.0,9,,,,,,,,
,,,,,1305,10.0,10,,,,,,,,
,,,,,1325,20.0,20,,,,,,,,
,,,,,1337,12.0,12,,,,,,,,
,,,,,1340,3.0,3,,,,,,,,
,,,,,1343,3.0,3,,,,,,,,
,,,,,1349,6.0,6,,,,,,,,
,,,,,1358,9.0,9,,,,,,,,
,,,,,1367,9.0,9,,,,,,,,
,,,,,1378,11.0,11,,,,,,,,
,,,,,1381,3.0,3,,,,,,,,
,,,,,1386,5.0,5,,,,,,,,
,,,,,1393,7.0,7,,,,,,,,
,,,,,1397,4.0,4,,,,,,,,
,,,,,1403,6.0,6,,,,,,,,
,,,,,1415,12.0,12,,,,,,,,
,,,,,1419,4.0,4,,,,,,,,
,,,,,1422,3.0,3,,,,,,,,
,,,,,1426,4.0,4,,,,,,,,
,,,,,1431,5.0,5,,,,,,,,
,,,,,1439,8.0,8,,,,,,,,
,,,,,1447,8.0,8,,,,,,,,
,,,,,1452,5.0,5,,,,,,,,
,,,,,1460,8.0,8,,,,,,,,
,,,,,1473,13.0,13,,,,,,,,
,,,,,1478,5.0,5,,,,,,,,
,,,,,1488,10.0,10,,,,,,,,
,,,,,1492,4.0,4,,,,,,,,
,,,,,1500,8.0,8,,,,,,,,
,,,,,1513,13.0,13,,,,,,,,
,,,,,1518,5.0,5,,,,,,,,
,,,,,1521,3.0,3,,,,,,,,
,,,,,1526,5.0,5,,,,,,,,
,,,,,1546,20.0,20,,,,,,,,
,,,,,1557,11.0,11,,,,,,,,
,,,,,1566,9.0,9,,,,,,,,
,,,,,1571,5.0,5,,,,,,,,
,,,,,1582,11.0,11,,,,,,,,
,,,,,1595,13.0,13,,,,,,,,
,,,,,1601,6.0,6,,,,,,,,
,,,,,1614,13.0,13,,,,,,,,
,,,,,1621,7.0,7,,,,,,,,
,,,,,1633,12.0,12,,,,,,,,
,,,,,1636,3.0,3,,,,,,,,
