Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,12828,-75.40349,130,,,,,,
,,,,,12921,-169.01562,93,,,,,,
,,,,,13007,-148.71419,86,,,,,,
,,,,,13109,-76.64478,102,,,,,,
,,,,,13200,-311.3053,91,,,,,,
,,,,,13272,-84.86174,72,,,,,,
,,,,,13381,-278.76974,109,,,,,,
,,,,,13454,-303.27765,73,,,,,,
,,,,,13562,-151.30125,108,,,,,,
,,,,,13652,-300.97684,90,,,,,,
,,,,,13735,-289.5728,83,,,,,,
,,,,,13832,-104.04905,97,,,,,,
,,,,,13963,-301.42422,131,,,,,,
,,,,,14041,-67.701324,78,,,,,,
,,,,,14115,-324.461,74,,,,,,
,,,,,14228,-367.21222,113,,,,,,
,,,,,14352,-368.96704,124,,,,,,
,,,,,14412,-188.4384,60,,,,,,
,,,,,14511,-513.2512,99,,,,,,
,,,,,14587,-84.20843,76,,,,,,
,,,,,14687,-158.23125,100,,,,,,
,,,,,14762,-232.24466,75,,,,,,
,,,,,14938,-260.18036,176,,,,,,
,,,,,15026,-115.5915,88,,,,,,
,,,,,15118,-283.1767,92,,,,,,
,,,,,15199,-352.0565,81,,,,,,
,,,,,15294,-471.3706,95,,,,,,
,,,,,15443,-243.54625,149,,,,,,
,,,,,15538,-305.20758,95,,,,,,
,,,,,15643,-223.39253,105,,,,,,
,,,,,15747,-82.63311,104,,,,,,
,,,,,15837,-448.83688,90,,,,,,
,,,,,15940,-389.78696,103,,,,,,
,,,,,16071,-280.97388,131,,,,,,
,,,,,16169,-108.74748,98,,,,,,
,,,,,16243,-215.45267,74,,,,,,
,,,,,16365,-253.63397,122,,,,,,
,,,,,16464,-82.18329,99,,,,,,
,,,,,16570,-269.8412,106,,,,,,
,,,,,16640,-166.84488,70,,,,,,
,,,,,16763,-475.66232,123,,,,,,
,,,,,16864,-163.8852,101,,,,,,
,,,,,16961,-324.83594,97,,,,,,
,,,,,17092,-496.32153,131,,,,,,
,,,,,17195,-338.94165,103,,,,,,
,,,,,17283,-106.54139,88,,,,,,
,,,,,17397,-236.64041,114,,,,,,
,,,,,17467,-334.42706,70,,,,,,
,,,,,17612,-122.12384,145,,,,,,
,,,,,17739,-110.15689,127,,,,,,
,,,,,17852,-112.46402,113,,,,,,
,,,,,17961,-229.56895,109,,,,,,
,,,,,18100,-132.40637,139,,,,,,
,,,,,18192,-109.92294,92,,,,,,
,,,,,18284,-429.2684,92,,,,,,
,,,,,18402,-131.51317,118,,,,,,
,,,,,18527,-303.43604,125,,,,,,
,,,,,18616,-356.05652,89,,,,,,
,,,,,18721,-538.16016,105,,,,,,
,,,,,18837,-210.1259,116,,,,,,
,,,,,18926,-261.5428,89,,,,,,
,,,,,19036,-139.10147,110,,,,,,
,,,,,19166,-125.39345,130,,,,,,
,,,,,19254,-124.44452,88,,,,,,
,,,,,19372,-126.64008,118,,,,,,
,,,,,19442,-54.69165,70,,,,,,
,,,,,19530,-506.8116,88,,,,,,
,,,,,19600,-199.47295,70,,,,,,
,,,,,19707,-243.84412,107,,,,,,
,,,,,19804,-419.31326,97,,,,,,
,,,,,19869,-142.37427,65,,,,,,
-746.4103,109.98248,-514.23285,-849.157,127.9,20000,,,14.889801979064941,-0.043606050312519073,-1.5299365520477295,8.731343269348145,0.88,0.001
,,,,,20009,-347.8061,140,,,,,,
,,,,,20089,-177.61191,80,,,,,,
,,,,,20181,-277.94836,92,,,,,,
,,,,,20291,-116.82936,110,,,,,,
,,,,,20408,-95.6391,117,,,,,,
,,,,,20551,-237.11703,143,,,,,,
,,,,,20657,-104.915726,106,,,,,,
,,,,,20769,-242.69307,112,,,,,,
,,,,,20873,-223.11957,104,,,,,,
,,,,,20988,-321.91595,115,,,,,,
,,,,,21000,,,3.5098910331726074,-1.9698642492294312,-1.4735937118530273,11.080182075500488,0.874,0.001
,,,,,21087,-71.5359,99,,,,,,
,,,,,21161,-113.42701,74,,,,,,
,,,,,21297,-381.92722,136,,,,,,
,,,,,21369,-56.72325,72,,,,,,
,,,,,21467,-172.56381,98,,,,,,
,,,,,21587,-433.21506,120,,,,,,
,,,,,21669,-155.2544,82,,,,,,
,,,,,21838,19.942177,169,,,,,,
,,,,,21941,-299.1972,103,,,,,,
,,,,,22000,,,73.4404296875,-3.728665351867676,-3.713677406311035,48.99269485473633,0.868,0.001
,,,,,22024,-143.98453,83,,,,,,
,,,,,22143,-36.32579,119,,,,,,
,,,,,22221,-41.34512,78,,,,,,
,,,,,22316,-111.29562,95,,,,,,
,,,,,22390,-218.40427,74,,,,,,
,,,,,22523,-35.58139,133,,,,,,
,,,,,22610,-25.50692,87,,,,,,
,,,,,22745,17.61451,135,,,,,,
,,,,,22858,-146.53604,113,,,,,,
,,,,,22982,-146.86607,124,,,,,,
,,,,,23000,,,31.674802780151367,-2.822758913040161,-2.486769437789917,43.70337677001953,0.862,0.001
,,,,,23086,-275.39056,104,,,,,,
,,,,,23197,-140.51791,111,,,,,,
,,,,,23318,-156.53894,121,,,,,,
,,,,,23427,-262.153,109,,,,,,
,,,,,23499,-46.91361,72,,,,,,
,,,,,23611,-105.60476,112,,,,,,
,,,,,23720,-135.14336,109,,,,,,
,,,,,23866,-121.21417,146,,,,,,
,,,,,23937,-85.95846,71,,,,,,
,,,,,24000,,,6.807610511779785,-2.542431354522705,-2.6439549922943115,43.71208572387695,0.856,0.001
,,,,,24040,-102.834885,103,,,,,,
,,,,,24138,-38.296597,98,,,,,,
,,,,,24242,-287.24594,104,,,,,,
,,,,,24328,-87.96059,86,,,,,,
,,,,,24456,-178.76175,128,,,,,,
,,,,,24538,-78.968994,82,,,,,,
,,,,,24669,-181.96024,131,,,,,,
,,,,,24750,-79.90634,81,,,,,,
,,,,,24897,-386.63947,147,,,,,,
,,,,,25000,,,46.42313766479492,-2.669433116912842,-3.3409383296966553,93.87178039550781,0.85,0.001
,,,,,25018,-149.792,121,,,,,,
,,,,,25131,-77.98871,113,,,,,,
,,,,,25199,-206.99493,68,,,,,,
,,,,,25314,-163.69383,115,,,,,,
,,,,,25386,-153.3486,72,,,,,,
,,,,,25462,-57.9417,76,,,,,,
,,,,,25585,-196.91827,123,,,,,,
,,,,,25659,-72.73829,74,,,,,,
,,,,,25754,-230.90154,95,,,,,,
