Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
37.3,11.593533,58.0,21.0,37.3,0,,,,,,,,
,,,,,38,39.0,39,,,,,,
,,,,,65,27.0,27,,,,,,
,,,,,81,16.0,16,,,,,,
,,,,,94,13.0,13,,,,,,
,,,,,111,17.0,17,,,,,,
,,,,,123,12.0,12,,,,,,
,,,,,139,16.0,16,,,,,,
,,,,,154,15.0,15,,,,,,
,,,,,182,28.0,28,,,,,,
,,,,,197,15.0,15,,,,,,
,,,,,211,14.0,14,,,,,,
,,,,,253,42.0,42,,,,,,
,,,,,280,27.0,27,,,,,,
,,,,,295,15.0,15,,,,,,
,,,,,310,15.0,15,,,,,,
,,,,,331,21.0,21,,,,,,
,,,,,340,9.0,9,,,,,,
,,,,,352,12.0,12,,,,,,
,,,,,390,38.0,38,,,,,,
,,,,,422,32.0,32,,,,,,
,,,,,455,33.0,33,,,,,,
,,,,,476,21.0,21,,,,,,
,,,,,494,18.0,18,,,,,,
,,,,,510,16.0,16,,,,,,
,,,,,525,15.0,15,,,,,,
,,,,,543,18.0,18,,,,,,
,,,,,566,23.0,23,,,,,,
,,,,,612,46.0,46,,,,,,
,,,,,650,38.0,38,,,,,,
,,,,,679,29.0,29,,,,,,
,,,,,693,14.0,14,,,,,,
,,,,,733,40.0,40,,,,,,
,,,,,754,21.0,21,,,,,,
,,,,,776,22.0,22,,,,,,
,,,,,795,19.0,19,,,,,,
,,,,,805,10.0,10,,,,,,
,,,,,816,11.0,11,,,,,,
,,,,,833,17.0,17,,,,,,
,,,,,868,35.0,35,,,,,,
,,,,,884,16.0,16,,,,,,
,,,,,900,16.0,16,,,,,,
,,,,,910,10.0,10,,,,,,
,,,,,933,23.0,23,,,,,,
,,,,,968,35.0,35,,,,,,
,,,,,996,28.0,28,,,,,,
,,,,,1000,,,1.0864182710647583,0.0604766346514225,1.0992294549942017,2.8293375968933105,0.97,0.0005
,,,,,1009,13.0,13,,,,,,
,,,,,1021,12.0,12,,,,,,
,,,,,1031,10.0,10,,,,,,
,,,,,1041,10.0,10,,,,,,
,,,,,1069,28.0,28,,,,,,
,,,,,1110,41.0,41,,,,,,
,,,,,1130,20.0,20,,,,,,
,,,,,1158,28.0,28,,,,,,
,,,,,1182,24.0,24,,,,,,
,,,,,1196,14.0,14,,,,,,
,,,,,1214,18.0,18,,,,,,
,,,,,1228,14.0,14,,,,,,
,,,,,1241,13.0,13,,,,,,
,,,,,1252,11.0,11,,,,,,
,,,,,1294,42.0,42,,,,,,
,,,,,1328,34.0,34,,,,,,
,,,,,1349,21.0,21,,,,,,
,,,,,1365,16.0,16,,,,,,
,,,,,1389,24.0,24,,,,,,
,,,,,1402,13.0,13,,,,,,
,,,,,1437,35.0,35,,,,,,
,,,,,1454,17.0,17,,,,,,
,,,,,1469,15.0,15,,,,,,
,,,,,1480,11.0,11,,,,,,
,,,,,1495,15.0,15,,,,,,
,,,,,1532,37.0,37,,,,,,
,,,,,1550,18.0,18,,,,,,
,,,,,1571,21.0,21,,,,,,
,,,,,1584,13.0,13,,,,,,
,,,,,1625,41.0,41,,,,,,
,,,,,1663,38.0,38,,,,,,
,,,,,1687,24.0,24,,,,,,
,,,,,1711,24.0,24,,,,,,
,,,,,1723,12.0,12,,,,,,
,,,,,1736,13.0,13,,,,,,
,,,,,1760,24.0,24,,,,,,
,,,,,1774,14.0,14,,,,,,
,,,,,1808,34.0,34,,,,,,
,,,,,1824,16.0,16,,,,,,
,,,,,1834,10.0,10,,,,,,
,,,,,1844,10.0,10,,,,,,
,,,,,1856,12.0,12,,,,,,
,,,,,1897,41.0,41,,,,,,
,,,,,1910,13.0,13,,,,,,
,,,,,1935,25.0,25,,,,,,
,,,,,1958,23.0,23,,,,,,
,,,,,1985,27.0,27,,,,,,
,,,,,2000,,,0.0017801392823457718,1.125576138496399,1.1230117082595825,0.02638954482972622,0.94,0.0005
,,,,,2003,18.0,18,,,,,,
,,,,,2028,25.0,25,,,,,,
,,,,,2048,20.0,20,,,,,,
,,,,,2087,39.0,39,,,,,,
,,,,,2104,17.0,17,,,,,,
,,,,,2157,53.0,53,,,,,,
,,,,,2167,10.0,10,,,,,,
,,,,,2202,35.0,35,,,,,,
,,,,,2233,31.0,31,,,,,,
,,,,,2248,15.0,15,,,,,,
,,,,,2269,21.0,21,,,,,,
,,,,,2310,41.0,41,,,,,,
,,,,,2324,14.0,14,,,,,,
,,,,,2339,15.0,15,,,,,,
,,,,,2353,14.0,14,,,,,,
,,,,,2364,11.0,11,,,,,,
,,,,,2376,12.0,12,,,,,,
,,,,,2414,38.0,38,,,,,,
,,,,,2431,17.0,17,,,,,,
,,,,,2453,22.0,22,,,,,,
,,,,,2469,16.0,16,,,,,,
,,,,,2485,16.0,16,,,,,,
14.1,1.6401219,17.0,12.0,14.1,2500,,,0.05277848243713379,2.089343547821045,2.0629289150238037,0.18078172206878662,0.925,0.0005
,,,,,2503,18.0,18,,,,,,
,,,,,2513,10.0,10,,,,,,
,,,,,2536,23.0,23,,,,,,
,,,,,2550,14.0,14,,,,,,
,,,,,2573,23.0,23,,,,,,
,,,,,2590,17.0,17,,,,,,
,,,,,2631,41.0,41,,,,,,
,,,,,2649,18.0,18,,,,,,
,,,,,2676,27.0,27,,,,,,
,,,,,2738,62.0,62,,,,,,
,,,,,2773,35.0,35,,,,,,
,,,,,2790,17.0,17,,,,,,
,,,,,2800,10.0,10,,,,,,
,,,,,2808,8.0,8,,,,,,
,,,,,2849,41.0,41,,,,,,
,,,,,2878,29.0,29,,,,,,
,,,,,2895,17.0,17,,,,,,
,,,,,2915,20.0,20,,,,,,
,,,,,2931,16.0,16,,,,,,
,,,,,2945,14.0,14,,,,,,
,,,,,2963,18.0,18,,,,,,
,,,,,2981,18.0,18,,,,,,
,,,,,2999,18.0,18,,,,,,
,,,,,3000,,,0.035213880240917206,2.0935425758361816,2.108107805252075,0.11618728190660477,0.91,0.0005
,,,,,3021,22.0,22,,,,,,
,,,,,3038,17.0,17,,,,,,
,,,,,3049,11.0,11,,,,,,
,,,,,3065,16.0,16,,,,,,
,,,,,3080,15.0,15,,,,,,
,,,,,3092,12.0,12,,,,,,
,,,,,3119,27.0,27,,,,,,
,,,,,3170,51.0,51,,,,,,
,,,,,3182,12.0,12,,,,,,
,,,,,3217,35.0,35,,,,,,
,,,,,3249,32.0,32,,,,,,
,,,,,3280,31.0,31,,,,,,
,,,,,3301,21.0,21,,,,,,
,,,,,3320,19.0,19,,,,,,
,,,,,3332,12.0,12,,,,,,
,,,,,3356,24.0,24,,,,,,
,,,,,3372,16.0,16,,,,,,
,,,,,3386,14.0,14,,,,,,
,,,,,3422,36.0,36,,,,,,
,,,,,3433,11.0,11,,,,,,
,,,,,3457,24.0,24,,,,,,
,,,,,3473,16.0,16,,,,,,
,,,,,3542,69.0,69,,,,,,
,,,,,3556,14.0,14,,,,,,
,,,,,3587,31.0,31,,,,,,
,,,,,3596,9.0,9,,,,,,
,,,,,3639,43.0,43,,,,,,
,,,,,3713,74.0,74,,,,,,
,,,,,3764,51.0,51,,,,,,
,,,,,3835,71.0,71,,,,,,
,,,,,3845,10.0,10,,,,,,
,,,,,3864,19.0,19,,,,,,
,,,,,3893,29.0,29,,,,,,
,,,,,3905,12.0,12,,,,,,
,,,,,3924,19.0,19,,,,,,
,,,,,3952,28.0,28,,,,,,
,,,,,3984,32.0,32,,,,,,
,,,,,4000,,,0.10022493451833725,3.0090901851654053,3.0092687606811523,0.22161515057086945,0.88,0.0005
,,,,,4057,73.0,73,,,,,,
,,,,,4122,65.0,65,,,,,,
,,,,,4141,19.0,19,,,,,,
,,,,,4184,43.0,43,,,,,,
,,,,,4200,16.0,16,,,,,,
,,,,,4227,27.0,27,,,,,,
,,,,,4257,30.0,30,,,,,,
,,,,,4279,22.0,22,,,,,,
,,,,,4310,31.0,31,,,,,,
,,,,,4322,12.0,12,,,,,,
,,,,,4333,11.0,11,,,,,,
,,,,,4347,14.0,14,,,,,,
,,,,,4370,23.0,23,,,,,,
,,,,,4420,50.0,50,,,,,,
,,,,,4449,29.0,29,,,,,,
,,,,,4501,52.0,52,,,,,,
,,,,,4519,18.0,18,,,,,,
,,,,,4534,15.0,15,,,,,,
,,,,,4580,46.0,46,,,,,,
,,,,,4610,30.0,30,,,,,,
,,,,,4632,22.0,22,,,,,,
,,,,,4657,25.0,25,,,,,,
,,,,,4670,13.0,13,,,,,,
,,,,,4726,56.0,56,,,,,,
,,,,,4752,26.0,26,,,,,,
,,,,,4767,15.0,15,,,,,,
,,,,,4777,10.0,10,,,,,,
,,,,,4811,34.0,34,,,,,,
,,,,,4830,19.0,19,,,,,,
,,,,,4842,12.0,12,,,,,,
,,,,,4857,15.0,15,,,,,,
,,,,,4906,49.0,49,,,,,,
,,,,,4951,45.0,45,,,,,,
,,,,,4966,15.0,15,,,,,,
,,,,,4990,24.0,24,,,,,,
163.6,22.87881,199.0,126.0,163.6,5000,,,0.09501789510250092,3.958460569381714,3.9734017848968506,0.21812698245048523,0.85,0.0005
,,,,,5011,21.0,21,,,,,,
,,,,,5028,17.0,17,,,,,,
,,,,,5067,39.0,39,,,,,,
,,,,,5183,116.0,116,,,,,,
,,,,,5202,19.0,19,,,,,,
,,,,,5213,11.0,11,,,,,,
,,,,,5239,26.0,26,,,,,,
,,,,,5260,21.0,21,,,,,,
,,,,,5282,22.0,22,,,,,,
,,,,,5294,12.0,12,,,,,,
,,,,,5310,16.0,16,,,,,,
,,,,,5337,27.0,27,,,,,,
,,,,,5358,21.0,21,,,,,,
,,,,,5380,22.0,22,,,,,,
,,,,,5414,34.0,34,,,,,,
,,,,,5433,19.0,19,,,,,,
,,,,,5499,66.0,66,,,,,,
,,,,,5547,48.0,48,,,,,,
,,,,,5565,18.0,18,,,,,,
,,,,,5616,51.0,51,,,,,,
,,,,,5654,38.0,38,,,,,,
,,,,,5674,20.0,20,,,,,,
,,,,,5686,12.0,12,,,,,,
,,,,,5754,68.0,68,,,,,,
,,,,,5789,35.0,35,,,,,,
,,,,,5803,14.0,14,,,,,,
,,,,,5817,14.0,14,,,,,,
,,,,,5847,30.0,30,,,,,,
,,,,,5866,19.0,19,,,,,,
,,,,,5904,38.0,38,,,,,,
,,,,,5946,42.0,42,,,,,,
,,,,,6000,,,0.028081145137548447,4.885827541351318,4.941841125488281,0.5965336561203003,0.82,0.0005
,,,,,6004,58.0,58,,,,,,
,,,,,6021,17.0,17,,,,,,
,,,,,6032,11.0,11,,,,,,
