Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,925,19.0,19,,,,,,,,
,,,,,929,4.0,4,,,,,,,,
,,,,,934,5.0,5,,,,,,,,
,,,,,939,5.0,5,,,,,,,,
,,,,,943,4.0,4,,,,,,,,
,,,,,946,3.0,3,,,,,,,,
,,,,,950,4.0,4,,,,,,,,
,,,,,961,11.0,11,,,,,,,,
,,,,,964,3.0,3,,,,,,,,
,,,,,968,4.0,4,,,,,,,,
,,,,,974,6.0,6,,,,,,,,
,,,,,978,4.0,4,,,,,,,,
,,,,,995,17.0,17,,,,,,,,
,,,,,1000,5.0,5,,,,,,,,
,,,,,1004,4.0,4,,,,,,,,
,,,,,1008,4.0,4,,,,,,,,
,,,,,1012,4.0,4,,,,,,,,
,,,,,1022,10.0,10,,,,,,,,
,,,,,1029,7.0,7,,,,,,,,
,,,,,1035,6.0,6,,,,,,,,
,,,,,1038,3.0,3,,,,,,,,
,,,,,1051,13.0,13,,,,,,,,
,,,,,1055,4.0,4,,,,,,,,
,,,,,1058,3.0,3,,,,,,,,
,,,,,1066,8.0,8,,,,,,,,
,,,,,1072,6.0,6,,,,,,,,
,,,,,1081,9.0,9,,,,,,,,
,,,,,1090,9.0,9,,,,,,,,
,,,,,1095,5.0,5,,,,,,,,
,,,,,1100,5.0,5,,,,,,,,
,,,,,1103,3.0,3,,,,,,,,
,,,,,1119,16.0,16,,,,,,,,
,,,,,1124,5.0,5,,,,,,,,
,,,,,1128,4.0,4,,,,,,,,
,,,,,1133,5.0,5,,,,,,,,
,,,,,1139,6.0,6,,,,,,,,
,,,,,1145,6.0,6,,,,,,,,
,,,,,1155,10.0,10,,,,,,,,
,,,,,1163,8.0,8,,,,,,,,
,,,,,1173,10.0,10,,,,,,,,
,,,,,1179,6.0,6,,,,,,,,
,,,,,1196,17.0,17,,,,,,,,
,,,,,1200,4.0,4,,,,,,,,
,,,,,1212,12.0,12,,,,,,,,
,,,,,1215,3.0,3,,,,,,,,
,,,,,1220,5.0,5,,,,,,,,
,,,,,1224,4.0,4,,,,,,,,
,,,,,1229,5.0,5,,,,,,,,
,,,,,1237,8.0,8,,,,,,,,
,,,,,1240,3.0,3,,,,,,,,
,,,,,1243,3.0,3,,,,,,,,
,,,,,1255,12.0,12,,,,,,,,
,,,,,1260,5.0,5,,,,,,,,
,,,,,1264,4.0,4,,,,,,,,
,,,,,1269,5.0,5,,,,,,,,
,,,,,1279,10.0,10,,,,,,,,
,,,,,1282,3.0,3,,,,,,,,
,,,,,1288,6.0,6,,,,,,,,
,,,,,1292,4.0,4,,,,,,,,
,,,,,1297,5.0,5,,,,,,,,
,,,,,1314,17.0,17,,,,,,,,
,,,,,1329,15.0,15,,,,,,,,
,,,,,1332,3.0,3,,,,,,,,
,,,,,1335,3.0,3,,,,,,,,
,,,,,1341,6.0,6,,,,,,,,
,,,,,1350,9.0,9,,,,,,,,
,,,,,1359,9.0,9,,,,,,,,
,,,,,1370,11.0,11,,,,,,,,
,,,,,1373,3.0,3,,,,,,,,
,,,,,1378,5.0,5,,,,,,,,
,,,,,1385,7.0,7,,,,,,,,
,,,,,1389,4.0,4,,,,,,,,
,,,,,1395,6.0,6,,,,,,,,
,,,,,1407,12.0,12,,,,,,,,
,,,,,1411,4.0,4,,,,,,,,
,,,,,1414,3.0,3,,,,,,,,
,,,,,1418,4.0,4,,,,,,,,
,,,,,1423,5.0,5,,,,,,,,
,,,,,1431,8.0,8,,,,,,,,
,,,,,1439,8.0,8,,,,,,,,
,,,,,1444,5.0,5,,,,,,,,
,,,,,1452,8.0,8,,,,,,,,
,,,,,1465,13.0,13,,,,,,,,
,,,,,1470,5.0,5,,,,,,,,
,,,,,1479,9.0,9,,,,,,,,
,,,,,1484,5.0,5,,,,,,,,
,,,,,1492,8.0,8,,,,,,,,
,,,,,1504,12.0,12,,,,,,,,
,,,,,1511,7.0,7,,,,,,,,
,,,,,1532,21.0,21,,,,,,,,
,,,,,1536,4.0,4,,,,,,,,
,,,,,1539,3.0,3,,,,,,,,
,,,,,1543,4.0,4,,,,,,,,
,,,,,1547,4.0,4,,,,,,,,
,,,,,1553,6.0,6,,,,,,,,
,,,,,1556,3.0,3,,,,,,,,
,,,,,1561,5.0,5,,,,,,,,
,,,,,1567,6.0,6,,,,,,,,
,,,,,1595,28.0,28,,,,,,,,
,,,,,1607,12.0,12,,,,,,,,
,,,,,1613,6.0,6,,,,,,,,
,,,,,1625,12.0,12,,,,,,,,
,,,,,1628,3.0,3,,,,,,,,
,,,,,1635,7.0,7,,,,,,,,
,,,,,1639,4.0,4,,,,,,,,
,,,,,1647,8.0,8,,,,,,,,
,,,,,1657,10.0,10,,,,,,,,
,,,,,1662,5.0,5,,,,,,,,
,,,,,1666,4.0,4,,,,,,,,
,,,,,1673,7.0,7,,,,,,,,
,,,,,1683,10.0,10,,,,,,,,
,,,,,1687,4.0,4,,,,,,,,
,,,,,1691,4.0,4,,,,,,,,
,,,,,1695,4.0,4,,,,,,,,
,,,,,1711,16.0,16,,,,,,,,
,,,,,1717,6.0,6,,,,,,,,
,,,,,1722,5.0,5,,,,,,,,
,,,,,1725,3.0,3,,,,,,,,
,,,,,1740,15.0,15,,,,,,,,
,,,,,1746,6.0,6,,,,,,,,
,,,,,1765,19.0,19,,,,,,,,
,,,,,1771,6.0,6,,,,,,,,
,,,,,1785,14.0,14,,,,,,,,
,,,,,1794,9.0,9,,,,,,,,
,,,,,1797,3.0,3,,,,,,,,
,,,,,1800,3.0,3,,,,,,,,
,,,,,1810,10.0,10,,,,,,,,
,,,,,1816,6.0,6,,,,,,,,
,,,,,1823,7.0,7,,,,,,,,
,,,,,1827,4.0,4,,,,,,,,
,,,,,1830,3.0,3,,,,,,,,
,,,,,1840,10.0,10,,,,,,,,
,,,,,1847,7.0,7,,,,,,,,
,,,,,1854,7.0,7,,,,,,,,
,,,,,1859,5.0,5,,,,,,,,
,,,,,1864,5.0,5,,,,,,,,
,,,,,1873,9.0,9,,,,,,,,
,,,,,1878,5.0,5,,,,,,,,
,,,,,1904,26.0,26,,,,,,,,
,,,,,1911,7.0,7,,,,,,,,
,,,,,1919,8.0,8,,,,,,,,
,,,,,1923,4.0,4,,,,,,,,
,,,,,1934,11.0,11,,,,,,,,
,,,,,1954,20.0,20,,,,,,,,
,,,,,1969,15.0,15,,,,,,,,
,,,,,1981,12.0,12,,,,,,,,
,,,,,1986,5.0,5,,,,,,,,
,,,,,2010,24.0,24,,,,,,,,
,,,,,2014,4.0,4,,,,,,,,
,,,,,2017,3.0,3,,,,,,,,
,,,,,2021,4.0,4,,,,,,,,
,,,,,2026,5.0,5,,,,,,,,
,,,,,2037,11.0,11,,,,,,,,
,,,,,2042,5.0,5,,,,,,,,
,,,,,2049,7.0,7,,,,,,,,
,,,,,2052,3.0,3,,,,,,,,
,,,,,2058,6.0,6,,,,,,,,
,,,,,2061,3.0,3,,,,,,,,
,,,,,2067,6.0,6,,,,,,,,
,,,,,2071,4.0,4,,,,,,,,
,,,,,2075,4.0,4,,,,,,,,
,,,,,2079,4.0,4,,,,,,,,
,,,,,2087,8.0,8,,,,,,,,
,,,,,2094,7.0,7,,,,,,,,
,,,,,2099,5.0,5,,,,,,,,
,,,,,2106,7.0,7,,,,,,,,
,,,,,2112,6.0,6,,,,,,,,
,,,,,2119,7.0,7,,,,,,,,
,,,,,2124,5.0,5,,,,,,,,
,,,,,2133,9.0,9,,,,,,,,
,,,,,2136,3.0,3,,,,,,,,
