Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-1114.4026,479.87567,-487.22076,-1934.6194,130.6,0,,,,,,,,
,,,,,82,-90.2401,83,,,,,,
,,,,,165,-113.796036,83,,,,,,
,,,,,230,-66.62244,65,,,,,,
,,,,,297,-139.68445,67,,,,,,
,,,,,359,-176.65063,62,,,,,,
,,,,,449,-375.7606,90,,,,,,
,,,,,529,-91.32929,80,,,,,,
,,,,,637,-250.02525,108,,,,,,
,,,,,743,-260.9366,106,,,,,,
,,,,,814,-125.583145,71,,,,,,
,,,,,926,-226.37964,112,,,,,,
,,,,,1005,-144.94846,79,,,,,,
,,,,,1078,-104.25092,73,,,,,,
,,,,,1141,-82.01962,63,,,,,,
,,,,,1230,-110.1378,89,,,,,,
,,,,,1311,-146.99817,81,,,,,,
,,,,,1413,-398.08307,102,,,,,,
,,,,,1508,-441.2466,95,,,,,,
,,,,,1646,13.987556,138,,,,,,
,,,,,1733,-73.98144,87,,,,,,
,,,,,1826,-122.99419,93,,,,,,
,,,,,1910,-98.34402,84,,,,,,
,,,,,2019,-409.22275,109,,,,,,
,,,,,2101,-238.43727,82,,,,,,
,,,,,2168,-102.39223,67,,,,,,
,,,,,2226,-61.710037,58,,,,,,
,,,,,2330,-121.8288,104,,,,,,
,,,,,2434,-140.8746,104,,,,,,
,,,,,2533,16.9505,99,,,,,,
,,,,,2642,-156.36563,109,,,,,,
,,,,,2708,-71.08979,66,,,,,,
,,,,,2770,-84.3955,62,,,,,,
,,,,,2869,-133.706,99,,,,,,
,,,,,2945,-99.22577,76,,,,,,
,,,,,3006,-71.251915,61,,,,,,
,,,,,3091,-167.81534,85,,,,,,
,,,,,3184,-197.29279,93,,,,,,
,,,,,3317,-114.00958,133,,,,,,
,,,,,3431,-386.8441,114,,,,,,
,,,,,3559,-175.47452,128,,,,,,
,,,,,3645,-75.46854,86,,,,,,
,,,,,3749,-299.1283,104,,,,,,
,,,,,3815,-83.340164,66,,,,,,
,,,,,3898,-292.54056,83,,,,,,
,,,,,3979,-80.541916,81,,,,,,
,,,,,4077,-137.45486,98,,,,,,
,,,,,4143,-92.03837,66,,,,,,
,,,,,4264,-482.27972,121,,,,,,
,,,,,4375,-107.663666,111,,,,,,
,,,,,4490,-330.106,115,,,,,,
,,,,,4599,-133.67749,109,,,,,,
,,,,,4698,-221.64111,99,,,,,,
,,,,,4797,-334.59253,99,,,,,,
,,,,,4912,-145.23999,115,,,,,,
,,,,,4990,-99.188416,78,,,,,,
,,,,,5077,-300.92358,87,,,,,,
,,,,,5151,-80.40829,74,,,,,,
,,,,,5290,-162.89072,139,,,,,,
,,,,,5375,-100.454285,85,,,,,,
,,,,,5463,-227.87851,88,,,,,,
,,,,,5544,-262.1341,81,,,,,,
,,,,,5657,-356.97043,113,,,,,,
,,,,,5720,-65.05123,63,,,,,,
,,,,,5818,-109.69103,98,,,,,,
,,,,,5927,-169.81839,109,,,,,,
,,,,,6041,-130.81136,114,,,,,,
,,,,,6145,-284.61942,104,,,,,,
,,,,,6267,-156.50684,122,,,,,,
,,,,,6369,-464.36844,102,,,,,,
,,,,,6483,-279.92395,114,,,,,,
,,,,,6584,-279.6745,101,,,,,,
,,,,,6697,-208.36224,113,,,,,,
,,,,,6817,-148.98994,120,,,,,,
,,,,,6883,-118.35972,66,,,,,,
,,,,,6975,-330.78516,92,,,,,,
,,,,,7040,-71.619965,65,,,,,,
,,,,,7127,-114.881546,87,,,,,,
,,,,,7235,-497.88522,108,,,,,,
,,,,,7306,-125.86907,71,,,,,,
,,,,,7431,-335.3896,125,,,,,,
,,,,,7508,-183.46751,77,,,,,,
,,,,,7600,-54.068573,92,,,,,,
,,,,,7672,-134.76141,72,,,,,,
,,,,,7785,-98.17459,113,,,,,,
,,,,,7891,-108.65946,106,,,,,,
,,,,,8001,-130.4997,110,,,,,,
,,,,,8088,-85.563736,87,,,,,,
,,,,,8162,-340.3531,74,,,,,,
,,,,,8250,-136.69934,88,,,,,,
,,,,,8324,-97.913185,74,,,,,,
,,,,,8416,-86.961914,92,,,,,,
,,,,,8506,-153.39638,90,,,,,,
,,,,,8577,-22.879318,71,,,,,,
,,,,,8685,-250.1996,108,,,,,,
,,,,,8818,-440.77457,133,,,,,,
,,,,,8932,-97.68574,114,,,,,,
,,,,,9012,-243.93219,80,,,,,,
,,,,,9095,-140.24005,83,,,,,,
,,,,,9186,-198.70639,91,,,,,,
,,,,,9249,-20.480194,63,,,,,,
,,,,,9339,-128.82216,90,,,,,,
,,,,,9416,-290.2401,77,,,,,,
,,,,,9522,-304.73514,106,,,,,,
,,,,,9656,-453.16245,134,,,,,,
,,,,,9750,-215.48544,94,,,,,,
,,,,,9828,-203.44418,78,,,,,,
,,,,,9930,-325.36664,102,,,,,,
-663.7565,208.2605,-435.01028,-1061.7644,93.9,10000,,,,,,,,
,,,,,10043,-381.02722,113,,,,,,
,,,,,10152,-434.16263,109,,,,,,
,,,,,10220,-185.27437,68,,,,,,
,,,,,10300,-336.91534,80,,,,,,
,,,,,10409,-393.94604,109,,,,,,
,,,,,10555,-263.04337,146,,,,,,
,,,,,10656,-231.89417,101,,,,,,
,,,,,10782,-140.51366,126,,,,,,
,,,,,10898,-184.8406,116,,,,,,
,,,,,11010,-394.57742,112,,,,,,
