Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,13072,-127.5869,84,,,,,,
,,,,,13162,-348.19604,90,,,,,,
,,,,,13233,-237.33038,71,,,,,,
,,,,,13427,-38.335125,194,,,,,,
,,,,,13530,-243.5834,103,,,,,,
,,,,,13620,-296.55847,90,,,,,,
,,,,,13696,-316.95453,76,,,,,,
,,,,,13777,-212.55508,81,,,,,,
,,,,,13915,-219.61407,138,,,,,,
,,,,,14064,-351.61273,149,,,,,,
,,,,,14135,-73.20381,71,,,,,,
,,,,,14287,-347.563,152,,,,,,
,,,,,14394,-317.88287,107,,,,,,
,,,,,14491,-376.7576,97,,,,,,
,,,,,14576,-334.89392,85,,,,,,
,,,,,14696,-151.27429,120,,,,,,
,,,,,14814,-138.26297,118,,,,,,
,,,,,14896,-163.03514,82,,,,,,
,,,,,14996,-417.56628,100,,,,,,
,,,,,15076,-37.342567,80,,,,,,
,,,,,15176,-219.24402,100,,,,,,
,,,,,15286,-527.3024,110,,,,,,
,,,,,15378,-145.66864,92,,,,,,
,,,,,15467,-402.18027,89,,,,,,
,,,,,15563,-366.03146,96,,,,,,
,,,,,15660,-375.78052,97,,,,,,
,,,,,15762,-330.26468,102,,,,,,
,,,,,15832,-268.7044,70,,,,,,
,,,,,15930,-146.93723,98,,,,,,
,,,,,15999,-71.80121,69,,,,,,
,,,,,16093,-203.5662,94,,,,,,
,,,,,16203,-153.87749,110,,,,,,
,,,,,16295,-10.55423,92,,,,,,
,,,,,16383,-104.419495,88,,,,,,
,,,,,16517,-312.9582,134,,,,,,
,,,,,16618,-206.24513,101,,,,,,
,,,,,16721,-177.70737,103,,,,,,
,,,,,16813,-264.67,92,,,,,,
,,,,,16925,-298.877,112,,,,,,
,,,,,17087,-138.82787,162,,,,,,
,,,,,17154,-73.197044,67,,,,,,
,,,,,17259,-410.95697,105,,,,,,
,,,,,17338,-323.91437,79,,,,,,
,,,,,17442,-383.64395,104,,,,,,
,,,,,17515,-89.29317,73,,,,,,
,,,,,17634,-141.66862,119,,,,,,
,,,,,17698,-67.9852,64,,,,,,
,,,,,17800,-381.62265,102,,,,,,
,,,,,17906,-361.11328,106,,,,,,
,,,,,18002,-361.85394,96,,,,,,
,,,,,18085,-411.11087,83,,,,,,
,,,,,18155,-216.10794,70,,,,,,
,,,,,18272,-81.86271,117,,,,,,
,,,,,18366,-90.39107,94,,,,,,
,,,,,18478,-347.5108,112,,,,,,
,,,,,18614,-200.98772,136,,,,,,
,,,,,18724,-80.42213,110,,,,,,
,,,,,18846,-147.76448,122,,,,,,
,,,,,18929,-290.80222,83,,,,,,
,,,,,18995,-195.76666,66,,,,,,
,,,,,19073,-85.24748,78,,,,,,
,,,,,19163,-364.3315,90,,,,,,
,,,,,19260,-39.548164,97,,,,,,
,,,,,19331,-222.99748,71,,,,,,
,,,,,19439,-234.95332,108,,,,,,
,,,,,19542,-126.76417,103,,,,,,
,,,,,19654,-388.85046,112,,,,,,
,,,,,19754,-452.98633,100,,,,,,
,,,,,19852,-97.26749,98,,,,,,
,,,,,19948,-250.64102,96,,,,,,
-700.18713,42.63971,-594.4362,-750.63074,106.6,20000,,,185.73513793945312,-0.05525559186935425,-2.739698886871338,18.82331657409668,0.88,0.003
,,,,,20060,-366.01007,112,,,,,,
,,,,,20125,-229.40486,65,,,,,,
,,,,,20246,-155.058,121,,,,,,
,,,,,20356,-212.3646,110,,,,,,
,,,,,20436,-87.84801,80,,,,,,
,,,,,20552,-138.93942,116,,,,,,
,,,,,20630,-118.025734,78,,,,,,
,,,,,20735,-106.34233,105,,,,,,
,,,,,20826,-82.91607,91,,,,,,
,,,,,20905,-55.504715,79,,,,,,
,,,,,21000,,,142.76075744628906,-1.4783241748809814,-2.1723175048828125,56.78066635131836,0.874,0.003
,,,,,21025,-437.0864,120,,,,,,
,,,,,21117,-300.68713,92,,,,,,
,,,,,21233,-175.85222,116,,,,,,
,,,,,21352,-7.1150513,119,,,,,,
,,,,,21419,-85.802864,67,,,,,,
,,,,,21548,-111.97012,129,,,,,,
,,,,,21648,-119.43216,100,,,,,,
,,,,,21739,-111.68851,91,,,,,,
,,,,,21828,-101.23145,89,,,,,,
,,,,,21914,-231.6244,86,,,,,,
,,,,,21985,-91.03177,71,,,,,,
,,,,,22000,,,55.78120803833008,-4.960603713989258,-2.860633134841919,43.421875,0.868,0.003
,,,,,22105,-76.75331,120,,,,,,
,,,,,22216,-92.12778,111,,,,,,
,,,,,22282,-115.90657,66,,,,,,
,,,,,22388,-443.694,106,,,,,,
,,,,,22506,-114.79708,118,,,,,,
,,,,,22633,-73.69657,127,,,,,,
,,,,,22724,-355.34244,91,,,,,,
,,,,,22846,-137.79623,122,,,,,,
,,,,,22921,-63.105286,75,,,,,,
,,,,,23000,-142.35529,79,,,,,,
,,,,,23000,,,52.886619567871094,-4.047721862792969,-3.1724143028259277,37.95206832885742,0.862,0.003
,,,,,23153,-105.26387,153,,,,,,
,,,,,23242,-155.17915,89,,,,,,
,,,,,23308,-119.46719,66,,,,,,
,,,,,23385,-192.41104,77,,,,,,
,,,,,23474,-86.779274,89,,,,,,
,,,,,23558,-156.34348,84,,,,,,
,,,,,23685,-171.33914,127,,,,,,
,,,,,23782,-168.30478,97,,,,,,
,,,,,23871,-146.41351,89,,,,,,
,,,,,23941,-104.78345,70,,,,,,
,,,,,24000,,,71.85846710205078,-2.4130051136016846,-3.392670154571533,40.483768463134766,0.856,0.003
,,,,,24032,-71.090576,91,,,,,,
,,,,,24101,-80.40609,69,,,,,,
,,,,,24163,-57.897324,62,,,,,,
,,,,,24266,-232.524,103,,,,,,
,,,,,24360,-56.960636,94,,,,,,
,,,,,24437,-95.92046,77,,,,,,
,,,,,24534,-83.13539,97,,,,,,
,,,,,24658,-128.1677,124,,,,,,
,,,,,24747,-151.82011,89,,,,,,
,,,,,24831,-96.876945,84,,,,,,
,,,,,24948,-112.82431,117,,,,,,
,,,,,25000,,,17.17068099975586,-5.731729507446289,-5.244212627410889,37.9770393371582,0.85,0.003
,,,,,25085,-66.06467,137,,,,,,
,,,,,25163,-99.483055,78,,,,,,
,,,,,25266,-72.804115,103,,,,,,
,,,,,25334,-107.92055,68,,,,,,
,,,,,25453,-127.506485,119,,,,,,
,,,,,25527,-79.051216,74,,,,,,
,,,,,25603,-116.10102,76,,,,,,
,,,,,25702,-78.758545,99,,,,,,
,,,,,25805,-174.47424,103,,,,,,
,,,,,25880,-120.98188,75,,,,,,
,,,,,25955,-160.58688,75,,,,,,
,,,,,26000,,,5.905970096588135,-3.6472015380859375,-3.247159242630005,25.462148666381836,0.844,0.003
,,,,,26070,-154.91669,115,,,,,,
,,,,,26186,-84.83783,116,,,,,,
,,,,,26288,-61.14644,102,,,,,,
,,,,,26387,-148.63864,99,,,,,,
,,,,,26496,-125.34744,109,,,,,,
,,,,,26635,-95.18076,139,,,,,,
,,,,,26726,-111.255424,91,,,,,,
,,,,,26790,-107.669754,64,,,,,,
,,,,,26898,-94.89197,108,,,,,,
,,,,,27000,,,5.48906946182251,-0.43312978744506836,-0.8236707448959351,41.346580505371094,0.838,0.003
,,,,,27001,-105.34529,103,,,,,,
,,,,,27116,-28.72586,115,,,,,,
,,,,,27246,-198.86803,130,,,,,,
,,,,,27336,-54.551163,90,,,,,,
,,,,,27418,-128.58757,82,,,,,,
,,,,,27550,8.840088,132,,,,,,
,,,,,27640,-36.891125,90,,,,,,
,,,,,27703,-63.7843,63,,,,,,
,,,,,27778,-42.953728,75,,,,,,
,,,,,27920,-351.70105,142,,,,,,
